player_name,season,club,league,current_pool,goals,assists,minutes,rt
Alexsandro de Souza,1011,Fenerbahçe,TR,CAM,28,16,2728,91
C. Palmer,2324,Chelsea,PL,CAM,22,11,2618,91
K. De Bruyne,1920,Manchester City,PL,CAM,13,20,2800,91
Bruno Fernandes,2526,Manchester United,PL,CAM,9,21,3066,90
Bruno Fernandes,2021,Manchester United,PL,CAM,18,12,3109,90
P. Foden,2324,Manchester City,PL,CAM,19,8,2874,90
Bruno Fernandes,1819,Sporting CP,PRT,CAM,20,13,2942,89
D. Alli,1617,Tottenham,PL,CAM,18,7,3045,89
Nenê,1112,Paris Saint Germain,L1,CAM,21,11,3033,89
Pablo Sarabia,1819,Sevilla,LL,CAM,12,13,2728,89
C. Palmer,2425,Chelsea,PL,CAM,15,8,3199,88
D. Berardi,2122,Sassuolo,SA,CAM,15,14,2838,88
K. De Bruyne,2122,Manchester City,PL,CAM,15,8,2205,88
K. De Bruyne,1718,Manchester City,PL,CAM,8,16,3085,88
M. Ødegaard,2223,Arsenal,PL,CAM,15,7,3149,88
M. Özil,1516,Arsenal,PL,CAM,6,19,3049,88
M. Reus,1819,Borussia Dortmund,BL,CAM,17,8,2322,88
M. Reus,1112,Borussia Mönchengladbach,BL,CAM,18,8,2781,88
D. Payet,1516,West Ham,PL,CAM,9,12,2573,87
J. Maddison,2122,Leicester,PL,CAM,12,8,2466,87
K. De Bruyne,2223,Manchester City,PL,CAM,7,16,2425,87
K. De Bruyne,1617,Manchester City,PL,CAM,6,18,2885,87
Pizzi,1819,Benfica,PRT,CAM,13,17,2721,87
A. El Khayati,1819,ADO Den Haag,ERE,CAM,17,12,2932,86
D. Alli,1718,Tottenham,PL,CAM,9,10,2972,86
D. Alli,1516,Tottenham,PL,CAM,10,9,2482,86
D. Berardi,2021,Sassuolo,SA,CAM,17,7,2484,86
E. Forsberg,1617,RB Leipzig,BL,CAM,8,19,2349,86
Francisco Medina Luna,1213,Rayo Vallecano,LL,CAM,18,2,2836,86
G. Sigurðsson,1819,Everton,PL,CAM,13,6,3134,86
J. Bellingham,2324,Real Madrid,LL,CAM,19,6,2324,86
M. Hamšík,1617,Napoli,SA,CAM,12,10,3050,86
M. Pjanić,1516,AS Roma,SA,CAM,10,12,2653,86
R. Fraser,1819,Bournemouth,PL,CAM,7,14,3173,86
S. Milinković-Savić,2122,Lazio,SA,CAM,11,11,3110,86
Santi Cazorla,1920,Villarreal,LL,CAM,11,9,2461,86
T. Müller,1920,Bayern München,BL,CAM,8,21,2259,86
B. Bourigeaud,2122,Rennes,L1,CAM,11,12,3215,85
Bruno Fernandes,2324,Manchester United,PL,CAM,10,8,3119,85
Bruno Fernandes,2122,Manchester United,PL,CAM,10,6,3119,85
C. Baumgartner,2526,RB Leipzig,BL,CAM,13,8,2789,85
C. Eriksen,1516,Tottenham,PL,CAM,6,13,2941,85
H. Ben Arfa,1516,Nice,L1,CAM,17,6,2843,85
Jonathan Viera,1516,Las Palmas,LL,CAM,10,9,3121,85
K. De Bruyne,2021,Manchester City,PL,CAM,6,12,2001,85
Luis Alberto,1920,Lazio,SA,CAM,6,15,3122,85
M. Ødegaard,2324,Arsenal,PL,CAM,8,10,3104,85
M. Özil,1617,Arsenal,PL,CAM,8,9,2848,85
Matheus Pereira,2021,West Brom,PL,CAM,11,6,2582,85
Mikel Oyarzabal,1920,Real Sociedad,LL,CAM,10,11,3063,85
Nenê,1011,Paris Saint Germain,L1,CAM,14,9,3089,85
P. Foden,2223,Manchester City,PL,CAM,11,5,1872,85
