player_name,season,club,current_pool,goals,assists,minutes,dribbles_success,passes_key
Alexsandro de Souza,1011,Fenerbahçe,CAM,28,16,2728,NR,NR
C. Palmer,2324,Chelsea,CAM,22,11,2618,52,72
K. De Bruyne,1920,Manchester City,CAM,13,20,2800,48,137
Bruno Fernandes,2526,Manchester United,CAM,9,21,3066,15,137
Bruno Fernandes,2021,Manchester United,CAM,18,12,3109,23,97
P. Foden,2324,Manchester City,CAM,19,8,2874,47,73
Bruno Fernandes,1819,Sporting CP,CAM,20,13,2942,31,105
D. Alli,1617,Tottenham,CAM,18,7,3045,49,52
Nenê,1112,Paris Saint Germain,CAM,21,11,3033,NR,NR
Pablo Sarabia,1819,Sevilla,CAM,12,13,2728,28,68
C. Palmer,2425,Chelsea,CAM,15,8,3199,51,91
D. Berardi,2122,Sassuolo,CAM,15,14,2838,30,82
K. De Bruyne,2122,Manchester City,CAM,15,8,2205,31,87
K. De Bruyne,1718,Manchester City,CAM,8,16,3085,63,111
M. Ødegaard,2223,Arsenal,CAM,15,7,3149,49,77
M. Özil,1516,Arsenal,CAM,6,19,3049,46,147
M. Reus,1819,Borussia Dortmund,CAM,17,8,2322,25,38
M. Reus,1112,Borussia Mönchengladbach,CAM,18,8,2781,NR,NR
D. Payet,1516,West Ham,CAM,9,12,2573,67,119
J. Maddison,2122,Leicester,CAM,12,8,2466,31,49
K. De Bruyne,2223,Manchester City,CAM,7,16,2425,32,99
K. De Bruyne,1617,Manchester City,CAM,6,18,2885,52,106
Pizzi,1819,Benfica,CAM,13,17,2721,24,102
A. El Khayati,1819,ADO Den Haag,CAM,17,12,2932,38,89
D. Alli,1718,Tottenham,CAM,9,10,2972,44,65
D. Alli,1516,Tottenham,CAM,10,9,2482,30,56
D. Berardi,2021,Sassuolo,CAM,17,7,2484,30,58
E. Forsberg,1617,RB Leipzig,CAM,8,19,2349,71,96
Francisco Medina Luna,1213,Rayo Vallecano,CAM,18,2,2836,NR,NR
G. Sigurðsson,1819,Everton,CAM,13,6,3134,38,75
J. Bellingham,2324,Real Madrid,CAM,19,6,2324,50,48
M. Hamšík,1617,Napoli,CAM,12,10,3050,40,80
M. Pjanić,1516,AS Roma,CAM,10,12,2653,26,84
R. Fraser,1819,Bournemouth,CAM,7,14,3173,24,93
S. Milinković-Savić,2122,Lazio,CAM,11,11,3110,45,52
Santi Cazorla,1920,Villarreal,CAM,11,9,2461,50,71
T. Müller,1920,Bayern München,CAM,8,21,2259,18,85
B. Bourigeaud,2122,Rennes,CAM,11,12,3215,9,123
Bruno Fernandes,2324,Manchester United,CAM,10,8,3119,19,116
Bruno Fernandes,2122,Manchester United,CAM,10,6,3119,26,91
C. Baumgartner,2526,RB Leipzig,CAM,13,8,2789,13,37
C. Eriksen,1516,Tottenham,CAM,6,13,2941,35,116
H. Ben Arfa,1516,Nice,CAM,17,6,2843,152,34
Jonathan Viera,1516,Las Palmas,CAM,10,9,3121,52,80
K. De Bruyne,2021,Manchester City,CAM,6,12,2001,48,81
Luis Alberto,1920,Lazio,CAM,6,15,3122,73,107
M. Ødegaard,2324,Arsenal,CAM,8,10,3104,37,102
M. Özil,1617,Arsenal,CAM,8,9,2848,32,102
Matheus Pereira,2021,West Brom,CAM,11,6,2582,40,60
Mikel Oyarzabal,1920,Real Sociedad,CAM,10,11,3063,67,50
Nenê,1011,Paris Saint Germain,CAM,14,9,3089,NR,NR
P. Foden,2223,Manchester City,CAM,11,5,1872,40,44
T. Hazard,1819,Borussia Mönchengladbach,CAM,10,10,2878,71,75
T. Müller,2122,Bayern München,CAM,8,18,2578,13,86
T. Müller,2021,Bayern München,CAM,11,18,2683,27,94
A. Ljajić,1617,Torino,CAM,10,8,2521,59,61
Bruno Fernandes,2223,Manchester United,CAM,8,8,3325,32,121
Carlos Soler,2021,Valencia,CAM,11,8,2737,25,45
H. Çalhanoğlu,1920,AC Milan,CAM,9,9,2718,28,70
Isco,1617,Real Madrid,CAM,10,8,1637,53,38
J. Hofmann,2223,Borussia Mönchengladbach,CAM,12,9,2684,14,100
J. Karlsson,2122,AZ Alkmaar,CAM,17,12,3276,49,80
J. Maddison,2425,Tottenham,CAM,9,7,1817,33,42
J. Musiala,2223,Bayern München,CAM,12,10,2217,77,53
Juanmi,2122,Real Betis,CAM,16,4,2148,29,19
K. De Bruyne,1516,Manchester City,CAM,7,9,2003,36,82
M. Trésor,2223,Genk,CAM,8,24,3325,64,109
Mikel Oyarzabal,1718,Real Sociedad,CAM,12,5,2781,40,44
H. Barnes,2122,Leicester,CAM,6,10,2104,31,29
J. Brandt,1819,Bayer Leverkusen,CAM,7,11,2674,55,87
J. Toornstra,1617,Feyenoord,CAM,14,9,2799,22,59
João Félix,1819,Benfica,CAM,15,7,1735,16,29
P. Pogba,1718,Manchester United,CAM,6,10,2151,75,39
Pablo Sarabia,1617,Sevilla,CAM,8,8,2133,22,47
Rafael van der Vaart,1011,Tottenham,CAM,13,NR,2239,NR,NR
T. Müller,1718,Bayern München,CAM,8,14,1964,12,58
Talisca,2526,Fenerbahçe,CAM,19,4,1957,14,21
A. Boupendza,2021,Hatayspor,CAM,22,1,2498,86,19
Bernardo Silva,2324,Manchester City,CAM,6,9,2581,38,64
Bruno Fernandes,1920,Manchester United,CAM,8,7,1193,15,31
C. Larin,2021,Beşiktaş,CAM,19,5,2884,43,32
D. Klaassen,1516,Ajax,CAM,13,8,2635,13,60
David Silva,1415,Manchester City,CAM,12,NR,2661,4,12
I. Saibari,2526,PSV Eindhoven,CAM,15,8,2145,50,53
Isco,1718,Real Madrid,CAM,7,7,1781,58,48
L. Stindl,2021,Borussia Mönchengladbach,CAM,14,8,1966,10,45
M. Mount,1718,Vitesse,CAM,14,9,2428,47,80
Mikel Oyarzabal,2021,Real Sociedad,CAM,11,8,2430,23,52
Mikel Oyarzabal,1819,Real Sociedad,CAM,13,2,3160,47,47
P. Foden,2021,Manchester City,CAM,9,5,1611,38,36
R. Cherki,2526,Manchester City,CAM,4,12,1806,50,61
S. Kagawa,1516,Borussia Dortmund,CAM,9,7,2168,20,45
Talisca,1718,Beşiktaş,CAM,14,7,2690,43,37
Bernardo Silva,1819,Manchester City,CAM,7,7,2853,49,72
E. Smith Rowe,2122,Arsenal,CAM,10,2,1921,32,30
