api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
50940,166415,Nani,1819,Sporting CP,PRT,CAM,7,4,1350,68,,,
25644,153294,P. Herrmann,1920,Borussia Mönchengladbach,BL,CAM,6,5,1452,68,,,
2214,159714,R. Del Castillo,1819,Rennes,L1,CAM,0,3,1338,48,,,
2214,158872,R. Del Castillo,2021,Rennes,L1,CAM,0,5,637,55,,,
2214,158423,R. Del Castillo,2122,Stade Brestois 29,L1,CAM,0,6,983,59,,,
2214,156806,R. Del Castillo,2526,Stade Brestois 29,L1,CAM,9,3,2643,68,,,
22095,160440,R. Hamouma,1617,Saint Etienne,L1,CAM,7,5,1967,68,,,
30488,146210,R. Orsolini,2021,Bologna,SA,CAM,7,3,1757,68,,,
107,159713,S. Diop,1819,Monaco,L1,CAM,0,NR,742,21,,,
107,158888,S. Diop,2021,Monaco,L1,CAM,7,1,2034,68,,,
50205,184370,S. Eduok,1617,Kasımpaşa,TR,CAM,4,2,1695,61,,,
50205,184312,S. Eduok,1718,Kasımpaşa,TR,CAM,7,2,1592,68,,,
879,159484,S. Mavididi,1920,Dijon,L1,CAM,5,1,1393,57,,,
879,158667,S. Mavididi,2122,Montpellier,L1,CAM,8,3,2313,68,,,
879,158223,S. Mavididi,2223,Montpellier,L1,CAM,4,2,1284,55,,,
879,131037,S. Mavididi,2425,Leicester,PL,CAM,4,1,1615,55,,,
41112,166005,Trincão,1920,SC Braga,PRT,CAM,8,5,1606,68,,,
20633,160533,J. Cabot,1617,Lorient,L1,CAM,5,4,1269,67,,,
976,153921,K. Bellarabi,1718,Bayer Leverkusen,BL,CAM,1,3,1143,46,,,
976,153549,K. Bellarabi,1819,Bayer Leverkusen,BL,CAM,5,4,1060,67,,,
976,153163,K. Bellarabi,1920,Bayer Leverkusen,BL,CAM,4,5,1426,63,,,
976,152767,K. Bellarabi,2021,Bayer Leverkusen,BL,CAM,0,NR,789,21,,,
976,152381,K. Bellarabi,2122,Bayer Leverkusen,BL,CAM,3,2,685,53,,,
30480,148127,Ladislav Krejčí I,1617,Bologna,SA,CAM,1,8,2785,67,,,
1910,160669,M. Lopez,1617,Marseille,L1,CAM,3,7,2185,67,,,
1910,160232,M. Lopez,1718,Marseille,L1,CAM,0,1,1372,33,,,
1910,159786,M. Lopez,1819,Marseille,L1,CAM,1,3,2186,53,,,
1910,159399,M. Lopez,1920,Marseille,L1,CAM,0,3,1109,48,,,
37191,171775,O. Tannane,1920,Vitesse,ERE,CAM,5,6,1437,67,,,
126642,152413,P. Wimmer,2122,Arminia Bielefeld,BL,CAM,3,6,2066,67,,,
48471,153368,R. Vargas,1920,FC Augsburg,BL,CAM,6,1,2538,65,,,
48471,152979,R. Vargas,2021,FC Augsburg,BL,CAM,6,3,1613,67,,,
19334,172914,B. Celina,1617,Twente,ERE,CAM,5,4,2156,66,,,
15803,165804,B. Kraev,1920,GIL Vicente,PRT,CAM,8,1,2267,66,,,
3424,167211,B. Mensah,1617,Guimaraes,PRT,CAM,NR,1,881,NR,,,
3424,183818,B. Mensah,1819,Kayserispor,TR,CAM,3,1,1752,53,,,
3424,183430,B. Mensah,1920,Kayserispor,TR,CAM,4,6,1947,66,,,
3424,183016,B. Mensah,2021,Beşiktaş,TR,CAM,4,1,1464,56,,,
451,184568,B. Ndiaye,1617,Ankaraspor,TR,CAM,6,2,2322,66,,,
51045,182342,D. Rossi,2122,Fenerbahçe,TR,CAM,6,7,1988,66,,,
51045,181947,D. Rossi,2223,Fenerbahçe,TR,CAM,4,5,1584,58,,,
41161,183040,Davidson,2021,Alanyaspor,TR,CAM,11,2,3023,66,,,
41161,182533,Davidson,2122,Alanyaspor,TR,CAM,5,2,1547,54,,,
574,167165,F. Krovinović,1617,Rio Ave,PRT,CAM,5,3,1656,66,,,
574,166775,F. Krovinović,1718,Benfica,PRT,CAM,1,1,850,42,,,
8483,176683,J. Dompé,2122,Zulte Waregem,BPL,CAM,3,12,2635,66,,,
47574,140918,Moi Gómez,1617,Sporting Gijon,LL,CAM,2,5,1878,66,,,
409,154192,N. Bentaleb,1718,FC Schalke 04,BL,CAM,4,3,1010,66,,,
2809,153764,R. Steffen,1819,VfL Wolfsburg,BL,CAM,5,1,1506,66,,,
2996,159622,S. Thioub,1819,Nimes,L1,CAM,3,5,2481,66,,,
2996,159217,S. Thioub,1920,Angers,L1,CAM,1,1,1505,43,,,
2996,158773,S. Thioub,2021,Angers,L1,CAM,1,1,1253,42,,,
2996,158325,S. Thioub,2122,Saint Etienne,L1,CAM,0,NR,953,20,,,
31146,146484,S. Tonali,2021,AC Milan,SA,CAM,0,NR,1335,28,,,
31146,146044,S. Tonali,2122,AC Milan,SA,CAM,5,2,2607,66,,,
22104,160783,Y. Salibur,1617,Guingamp,L1,CAM,8,4,2826,66,,,
22104,160357,Y. Salibur,1718,Guingamp,L1,CAM,3,3,1529,53,,,
22104,159937,Y. Salibur,1819,Saint Etienne,L1,CAM,1,NR,881,30,,,
22104,182782,Y. Salibur,2021,Fatih Karagümrük,TR,CAM,0,NR,798,21,,,
50910,140885,A. Katai,1617,Alaves,LL,CAM,3,3,770,65,,,
272,160638,A. Rabiot,1617,Paris Saint Germain,L1,CAM,3,2,1931,57,,,
272,160202,A. Rabiot,1718,Paris Saint Germain,L1,CAM,1,5,2366,57,,,
272,144357,A. Rabiot,2526,AC Milan,SA,CAM,6,4,2557,65,,,
9971,171011,Antony,2122,Ajax,ERE,CAM,8,4,1736,65,,,
9971,131637,Antony,2223,Manchester United,PL,CAM,4,2,1817,58,,,
9971,131239,Antony,2324,Manchester United,PL,CAM,1,1,1322,38,,,
9971,137553,Antony,2425,Real Betis,LL,CAM,5,2,1364,59,,,
21437,158936,D. Bouanga,2021,Saint Etienne,L1,CAM,7,4,2734,65,,,
18809,133129,Deulofeu,1920,Watford,PL,CAM,4,5,2109,65,,,
1161,132455,E. Smith Rowe,2021,Arsenal,PL,CAM,2,4,1448,65,,,
30410,146464,F. Chiesa,2021,Juventus,SA,CAM,8,1,2227,65,,,
30410,146041,F. Chiesa,2122,Juventus,SA,CAM,2,2,868,49,,,
1457,133908,H. Mkhitaryan,1718,Arsenal,PL,CAM,2,4,796,65,,,
1944,177717,J. Paintsil,1819,Genk,BPL,CAM,3,NR,1053,42,,,
1944,182999,J. Paintsil,2021,Ankaragücü,TR,CAM,11,NR,2219,65,,,
30533,147483,M. Locatelli,1718,AC Milan,SA,CAM,0,NR,666,24,,,
30533,147062,M. Locatelli,1819,Sassuolo,SA,CAM,2,4,1849,65,,,
30533,146175,M. Locatelli,2021,Sassuolo,SA,CAM,4,2,2885,61,,,
21509,153031,M. Thuram,2021,Borussia Mönchengladbach,BL,CAM,8,2,1740,65,,,
1165,153068,Matheus Cunha,2021,Hertha BSC,BL,CAM,7,4,2155,65,,,
2598,170955,R. Dōan,2122,PSV Eindhoven,ERE,CAM,8,1,1517,65,,,
635,134301,R. Mahrez,1617,Leicester,PL,CAM,6,3,2837,65,,,
41288,166974,Ricardo Valente,1617,Pacos Ferreira,PRT,CAM,4,NR,1496,47,,,
41288,166574,Ricardo Valente,1718,Maritimo,PRT,CAM,8,3,2376,65,,,
41288,166175,Ricardo Valente,1819,Maritimo,PRT,CAM,1,NR,420,28,,,
41288,165736,Ricardo Valente,1920,Tondela,PRT,CAM,0,2,441,32,,,
