card_id,player_name,season_year,position_pool,position,rt
108528,"William Saliba",2025,,DEF,45
108530,"Cristhian Mosquera",2025,,DEF,22
108536,"Gabriel Magalhães",2025,,DEF,72
108547,"H. Onyekuru",2025,Winger,FWD,82
108549,"Leandro Trossard",2025,,FWD,74
108551,"Noni Madueke",2025,,FWD,45
108553,"Kai Havertz",2025,,FWD,57
108554,"E. Taşdemir",2025,GK,GK,75
108561,"Martín Zubimendi",2025,,MID,66
108565,"Rúben Dias",2025,,DEF,55
108567,"Nathan Aké",2025,,DEF,19
108571,"Joško Gvardiol",2025,,DEF,65
108573,"Nico O'Reilly",2025,,DEF,76
108580,"F. Chalov",2025,GK,GK,75
108582,"Tijjani Reijnders",2025,,MID,65
108588,"Rodri",2025,,MID,38
108589,"Bernardo Silva",2025,,MID,63
108597,"Noussair Mazraoui",2025,,DEF,22
108598,"Matthijs de Ligt",2025,,DEF,45
108599,"Harry Maguire",2025,,DEF,60
108601,"Leny Yoro",2025,,DEF,25
108602,"Luke Shaw",2025,,DEF,52
108604,"Mason Mount",2025,,FWD,47
108605,"Matheus Cunha",2025,,FWD,76
108607,"Bryan Mbeumo",2025,Winger,FWD,80
108608,"Benjamin Šeško",2025,,FWD,79
108612,"Patrick Dorgu",2025,,MID,72
108613,"Amad Diallo",2025,,MID,61
108615,"Manuel Ugarte",2025,,MID,21
108617,"Matty Cash",2025,,DEF,70
108619,"C. Tolisso",2025,CAM,DEF,41
108621,"Ezri Konsa",2025,,DEF,27
108623,"Tyrone Mings",2025,,DEF,23
108633,"A. Conti",2025,GK,GK,75
108637,"S. Gnabry",2025,Winger,MID,74
108645,"Douglas Luiz",2025,,MID,39
108658,"Miloš Kerkez",2025,,DEF,60
108660,"Conor Bradley",2025,,DEF,41
108662,"Jeremie Frimpong",2025,,DEF,41
108669,"Giorgi Mamardashvili",2025,GK,GK,46
108683,"Adrien Truffert",2025,,DEF,68
108687,"Álex Jiménez",2025,,DEF,45
108688,"James Hill",2025,,DEF,57
108689,"Evanilson",2025,,FWD,61
108692,"Đorđe Petrović",2025,GK,GK,75
108694,"David Brooks",2025,,MID,58
108695,"Alex Scott",2025,,MID,57
108696,"Ryan Christie",2025,,MID,49
108697,"Tyler Adams",2025,,MID,58
108703,"Luke O'Nien",2025,,DEF,41
108704,"Omar Alderete",2025,,DEF,52
108706,"Nordi Mukiele",2025,,DEF,70
108707,"Trai Hume",2025,,DEF,59
108710,"Wilson Isidor",2025,,FWD,63
108711,"V. Simić",2025,,FWD,31
108712,"Robin Roefs",2025,GK,GK,75
108715,"Habib Diarra",2025,,MID,59
108718,"Granit Xhaka",2025,,MID,64
108719,"Lewis Dunk",2025,,DEF,45
108722,"Ferdi Kadıoğlu",2025,,DEF,45
108723,"K. Kvaratskhelia",2025,Winger,DEF,68
108724,"Maxim De Cuyper",2025,,DEF,68
108725,"Joël Veltman",2025,,DEF,45
108726,"Danny Welbeck",2025,,FWD,81
108727,"Bart Verbruggen",2025,GK,GK,75
108729,"Yankuba Minteh",2025,,MID,67
108731,"Carlos Baleba",2025,,MID,24
108733,"James Milner",2025,,MID,47
108734,"Kaoru Mitoma",2025,,MID,60
108737,"Pascal Groß",2025,,MID,57
108738,"Pascal Groß",2025,,MID,33
108740,"Aaron Hickey",2025,,DEF,20
108741,"Rico Henry",2025,,DEF,41
108742,"Sepp van den Berg",2025,,DEF,50
108743,"Kristoffer Ajer",2025,,DEF,42
108744,"Nathan Collins",2025,,DEF,58
108745,"Keane Lewis-Potter",2025,,DEF,71
108748,"Michael Kayode",2025,,DEF,52
108749,"Igor Thiago",2025,ST,FWD,88
108751,"Jordan Henderson",2025,,MID,56
108752,"Kevin Schade",2025,,MID,79
