league,season,strength,n_obs,tier
PRT,2010,0.6214,141,pooled
PL,2010,1,42,computed
LL,2010,0.801,42,computed
SA,2010,0.8441,25,computed
BL,2010,0.8482,25,computed
L1,2010,0.7816,26,computed
ERE,2010,0.5543,22,computed
BPL,2010,0.7612,18,computed
TR,2010,0.6523,20,computed
PRT,2011,0.4664,16,computed
PL,2011,1,56,computed
LL,2011,0.8614,56,computed
SA,2011,0.8128,30,computed
BL,2011,0.8411,31,computed
L1,2011,0.8146,35,computed
ERE,2011,0.5386,25,computed
BPL,2011,0.7016,20,computed
TR,2011,0.6707,23,computed
PRT,2012,0.627,24,computed
PL,2012,1,71,computed
LL,2012,0.8848,71,computed
SA,2012,0.8551,40,computed
BL,2012,0.8937,44,computed
L1,2012,0.7821,51,computed
ERE,2012,0.6439,31,computed
BPL,2012,0.779,26,computed
TR,2012,0.6782,32,computed
PRT,2013,0.6043,25,computed
PL,2013,1,80,computed
LL,2013,0.9096,73,computed
SA,2013,0.8214,50,computed
BL,2013,0.8153,44,computed
L1,2013,0.7549,63,computed
ERE,2013,0.6738,29,computed
BPL,2013,0.723,27,computed
TR,2013,0.6367,37,computed
PRT,2014,0.6429,32,computed
PL,2014,1,91,computed
LL,2014,0.907,88,computed
SA,2014,0.8485,68,computed
BL,2014,0.8703,52,computed
L1,2014,0.7377,77,computed
ERE,2014,0.6828,30,computed
BPL,2014,0.7081,29,computed
TR,2014,0.6566,47,computed
PRT,2015,0.7344,38,computed
PL,2015,1,94,computed
LL,2015,0.9965,94,computed
SA,2015,0.9211,74,computed
BL,2015,0.9089,58,computed
L1,2015,0.757,87,computed
ERE,2015,0.7247,27,computed
BPL,2015,0.7162,30,computed
TR,2015,0.7096,50,computed
PRT,2016,0.7824,44,computed
PL,2016,1,103,computed
LL,2016,0.9792,103,computed
SA,2016,0.9074,86,computed
BL,2016,0.8722,70,computed
L1,2016,0.7657,103,computed
ERE,2016,0.6518,39,computed
BPL,2016,0.7323,39,computed
TR,2016,0.718,61,computed
PRT,2017,0.7357,48,computed
PL,2017,1,104,computed
LL,2017,1.032,103,computed
SA,2017,0.9273,96,computed
BL,2017,0.8114,71,computed
L1,2017,0.7901,106,computed
ERE,2017,0.6098,42,computed
BPL,2017,0.7218,41,computed
TR,2017,0.7132,71,computed
PRT,2018,0.7901,55,computed
PL,2018,1,103,computed
LL,2018,1.0605,99,computed
SA,2018,1.0075,103,computed
BL,2018,0.8393,79,computed
L1,2018,0.8568,109,computed
ERE,2018,0.6184,49,computed
BPL,2018,0.7487,51,computed
TR,2018,0.7099,74,computed
PRT,2019,0.6701,59,computed
PL,2019,1,107,computed
LL,2019,1.0129,89,computed
SA,2019,0.906,104,computed
BL,2019,0.7338,87,computed
L1,2019,0.8452,119,computed
ERE,2019,0.5707,60,computed
BPL,2019,0.6642,53,computed
TR,2019,0.6675,74,computed
PRT,2020,0.6043,63,computed
PL,2020,1,115,computed
LL,2020,0.918,91,computed
SA,2020,0.8715,112,computed
BL,2020,0.6736,100,computed
L1,2020,0.8098,131,computed
ERE,2020,0.5495,68,computed
BPL,2020,0.6436,60,computed
TR,2020,0.622,86,computed
PRT,2021,0.6007,67,computed
PL,2021,1,118,computed
LL,2021,0.8793,87,computed
SA,2021,0.9154,114,computed
BL,2021,0.7438,98,computed
L1,2021,0.8373,123,computed
ERE,2021,0.5802,60,computed
BPL,2021,0.6918,55,computed
TR,2021,0.6446,90,computed
PRT,2022,0.5982,69,computed
PL,2022,1,147,computed
LL,2022,0.8427,91,computed
SA,2022,0.9286,121,computed
BL,2022,0.7404,110,computed
L1,2022,0.806,128,computed
ERE,2022,0.5983,66,computed
BPL,2022,0.6332,64,computed
TR,2022,0.6265,92,computed
PRT,2023,0.5771,56,computed
PL,2023,1,130,computed
LL,2023,0.8411,77,computed
SA,2023,0.9333,97,computed
BL,2023,0.7457,93,computed
L1,2023,0.799,108,computed
ERE,2023,0.6115,57,computed
BPL,2023,0.6469,50,computed
TR,2023,0.6462,78,computed
PRT,2024,0.59,42,computed
PL,2024,1,99,computed
LL,2024,0.8335,57,computed
SA,2024,1.0022,70,computed
BL,2024,0.7835,69,computed
L1,2024,0.8063,72,computed
ERE,2024,0.6507,38,computed
BPL,2024,0.6573,38,computed
TR,2024,0.6614,61,computed
