league_code,season_year,weight,tier
PRT,2010,0.577,pooled
PRT,2011,0.46,computed
PRT,2012,0.5728,computed
PRT,2013,0.5384,computed
PRT,2014,0.5997,computed
PRT,2015,0.664,computed
PRT,2016,0.7166,computed
PRT,2017,0.7,computed
PRT,2018,0.7441,computed
PRT,2019,0.6278,computed
PRT,2020,0.5535,computed
PRT,2021,0.5572,computed
PRT,2022,0.5538,computed
PRT,2023,0.5414,computed
PRT,2024,0.5476,computed
PRT,2025,0.577,pooled-fill
PL,2010,1,computed
PL,2011,1,computed
PL,2012,1,computed
PL,2013,1,computed
PL,2014,1,computed
PL,2015,1,computed
PL,2016,1,computed
PL,2017,1,computed
PL,2018,1,computed
PL,2019,1,computed
PL,2020,1,computed
PL,2021,1,computed
PL,2022,1,computed
PL,2023,1,computed
PL,2024,1,computed
PL,2025,1,pooled-fill
LL,2010,0.8492,computed
LL,2011,0.9099,computed
LL,2012,0.8978,computed
LL,2013,0.8938,computed
LL,2014,0.9013,computed
LL,2015,0.9357,computed
LL,2016,0.9462,computed
LL,2017,1.0141,computed
LL,2018,1.0449,computed
LL,2019,0.9752,computed
LL,2020,0.8533,computed
LL,2021,0.8167,computed
LL,2022,0.7801,computed
LL,2023,0.7886,computed
LL,2024,0.7905,computed
LL,2025,0.8782,pooled-fill
SA,2010,0.8502,computed
SA,2011,0.8107,computed
SA,2012,0.8657,computed
SA,2013,0.8015,computed
SA,2014,0.8387,computed
SA,2015,0.9014,computed
SA,2016,0.9107,computed
SA,2017,0.91,computed
SA,2018,1.0269,computed
SA,2019,0.9038,computed
SA,2020,0.8452,computed
SA,2021,0.8812,computed
SA,2022,0.8624,computed
SA,2023,0.864,computed
SA,2024,0.9084,computed
SA,2025,0.8788,pooled-fill
BL,2010,0.8964,computed
BL,2011,0.895,computed
BL,2012,0.9282,computed
BL,2013,0.8013,computed
BL,2014,0.8611,computed
BL,2015,0.9049,computed
BL,2016,0.8502,computed
BL,2017,0.841,computed
BL,2018,0.8914,computed
BL,2019,0.7865,computed
BL,2020,0.6997,computed
BL,2021,0.7655,computed
BL,2022,0.7693,computed
BL,2023,0.7812,computed
BL,2024,0.8126,computed
BL,2025,0.7946,pooled-fill
L1,2010,0.7569,computed
L1,2011,0.7843,computed
L1,2012,0.7454,computed
L1,2013,0.6971,computed
L1,2014,0.7125,computed
L1,2015,0.7171,computed
L1,2016,0.7242,computed
L1,2017,0.764,computed
L1,2018,0.8382,computed
L1,2019,0.8249,computed
L1,2020,0.7754,computed
L1,2021,0.7958,computed
L1,2022,0.7703,computed
L1,2023,0.7771,computed
L1,2024,0.7688,computed
L1,2025,0.7661,pooled-fill
ERE,2010,0.611,computed
ERE,2011,0.5942,computed
ERE,2012,0.6578,computed
ERE,2013,0.6422,computed
ERE,2014,0.6851,computed
ERE,2015,0.7159,computed
ERE,2016,0.6745,computed
ERE,2017,0.6385,computed
ERE,2018,0.655,computed
ERE,2019,0.5976,computed
ERE,2020,0.5665,computed
ERE,2021,0.5797,computed
ERE,2022,0.6059,computed
ERE,2023,0.6234,computed
ERE,2024,0.6757,computed
ERE,2025,0.6284,pooled-fill
BPL,2010,0.7988,computed
BPL,2011,0.7356,computed
BPL,2012,0.7623,computed
BPL,2013,0.6362,computed
BPL,2014,0.6051,computed
BPL,2015,0.5582,computed
BPL,2016,0.5755,computed
BPL,2017,0.5787,computed
BPL,2018,0.6805,computed
BPL,2019,0.6376,computed
BPL,2020,0.6019,computed
BPL,2021,0.6551,computed
BPL,2022,0.6059,computed
BPL,2023,0.6237,computed
BPL,2024,0.6275,computed
BPL,2025,0.5989,pooled-fill
TR,2010,0.6572,computed
TR,2011,0.6763,computed
TR,2012,0.6897,computed
TR,2013,0.6211,computed
TR,2014,0.6578,computed
TR,2015,0.7071,computed
TR,2016,0.7286,computed
TR,2017,0.7035,computed
TR,2018,0.6906,computed
TR,2019,0.6617,computed
TR,2020,0.5987,computed
TR,2021,0.6152,computed
TR,2022,0.6129,computed
TR,2023,0.6303,computed
TR,2024,0.6348,computed
TR,2025,0.6362,pooled-fill
