ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
1. FC Köln,192,204,2010,2017
1899 Hoffenheim,167,306,2010,2018
Bayer Leverkusen,168,306,2010,2018
Bayern Munich,157,306,2010,2018
Borussia Dortmund,165,306,2010,2018
Borussia Monchengladbach,163,306,2010,2018
Eintracht Braunschweig,744,34,2013,2013
Eintracht Frankfurt,169,272,2010,2018
FC Augsburg,170,272,2011,2018
FC Ingolstadt 04,184,68,2015,2016
FC Kaiserslautern,745,68,2010,2011
FC Nurnberg,171,170,2010,2018
FC Schalke 04,174,306,2010,2018
FC St. Pauli,186,34,2010,2010
Fortuna Dusseldorf,158,68,2012,2018
FSV Mainz 05,164,306,2010,2018
Hamburger SV,175,272,2010,2017
Hannover 96,166,272,2010,2018
Hertha Berlin,159,238,2011,2018
RB Leipzig,173,102,2016,2018
SC Freiburg,160,272,2010,2018
SC Paderborn 07,185,34,2014,2014
SpVgg Greuther Furth,178,34,2012,2012
SV Darmstadt 98,181,68,2015,2016
Union Berlin,182,2,2018,2018
VfB Stuttgart,172,274,2010,2018
VfL Wolfsburg,161,306,2010,2018
Werder Bremen,162,306,2010,2018
