ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
Anderlecht,554,356,2010,2018
Antwerp,740,70,2017,2018
AS Eupen,739,119,2010,2018
Beerschot,4654,102,2010,2012
Cercle Brugge,741,210,2010,2018
Charleroi,736,292,2010,2018
Club Brugge KV,569,355,2010,2018
Genk,742,344,2010,2018
Gent,631,354,2010,2018
Kortrijk,734,315,2010,2018
KV Mechelen,266,276,2010,2017
KVC Westerlo,261,165,2010,2016
Lierse,1392,175,2010,2014
Lokeren,737,316,2010,2018
Mons,4653,109,2011,2013
OH Leuven,260,139,2011,2015
Oostende,624,214,2013,2018
Royal Excel Mouscron,743,162,2014,2018
SK Beveren,738,234,2012,2018
St. Truiden,735,193,2010,2018
Standard Liege,733,343,2010,2018
Zulte Waregem,600,325,2010,2018
