ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
ADO Den Haag,198,392,2010,2024
Ajax,194,546,2010,2025
Almere City FC,419,75,2020,2024
AZ Alkmaar,201,558,2010,2025
Cambuur,420,172,2013,2024
De Graafschap,199,143,2010,2024
Den Bosch,421,4,2024,2024
Dordrecht,409,40,2014,2024
Emmen,208,145,2018,2023
Excelsior,196,350,2010,2025
FC Eindhoven,422,6,2021,2022
FC Volendam,416,103,2020,2025
Feyenoord,209,548,2010,2025
Fortuna Sittard,205,272,2018,2025
GO Ahead Eagles,410,274,2013,2025
Groningen,202,528,2010,2025
Heerenveen,210,562,2010,2025
Heracles,206,520,2010,2025
MVV,412,2,2022,2022
NAC Breda,203,321,2010,2025
NEC Nijmegen,413,381,2010,2025
PEC Zwolle,193,446,2012,2025
PSV Eindhoven,197,544,2010,2025
Roda,414,246,2010,2023
Sparta Rotterdam,426,312,2016,2025
Telstar,427,40,2024,2025
Twente,415,522,2010,2025
Utrecht,207,574,2010,2025
Vitesse,200,498,2010,2023
VVV Venlo,204,242,2010,2022
Waalwijk,417,310,2011,2024
Willem II,195,380,2010,2024
