ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
Ajaccio,98,114,2011,2013
Amiens,87,76,2017,2018
Angers,77,152,2015,2018
Arles,4652,38,2010,2010
Auxerre,108,76,2010,2011
Bastia,1305,152,2012,2015
Bordeaux,78,342,2010,2018
Caen,88,266,2010,2018
Dijon,89,152,2011,2018
Estac Troyes,110,114,2012,2017
Evian TG,3006,152,2011,2014
Gazelec FC Ajaccio,100,38,2015,2015
Guingamp,90,228,2013,2018
Lens,116,76,2010,2014
Lille,79,342,2010,2018
Lorient,97,266,2010,2016
Lyon,80,342,2010,2018
Marseille,81,342,2010,2018
Metz,112,114,2014,2017
Monaco,91,266,2010,2018
Montpellier,82,342,2010,2018
Nancy,102,152,2010,2016
Nantes,83,228,2013,2018
Nice,84,342,2010,2018
Nimes,92,38,2018,2018
Paris Saint Germain,85,342,2010,2018
Reims,93,190,2012,2018
Rennes,94,342,2010,2018
Saint Etienne,1063,342,2010,2018
SC Bastia,1305,38,2016,2016
Sochaux,115,152,2010,2013
Stade Brestois 29,106,114,2010,2012
Strasbourg,95,76,2017,2018
Toulouse,96,342,2010,2018
Valenciennes,105,152,2010,2013
