ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
Alaves,542,114,2016,2018
Almeria,723,114,2010,2014
Athletic Club,531,342,2010,2018
Atletico Madrid,530,342,2010,2018
Barcelona,529,342,2010,2018
Celta Vigo,538,266,2012,2018
Cordoba,713,38,2014,2014
Deportivo La Coruna,544,228,2010,2017
Eibar,545,190,2014,2018
Elche,797,76,2013,2014
Espanyol,540,342,2010,2018
Getafe,546,304,2010,2018
Girona,547,76,2017,2018
Granada CF,715,228,2011,2016
Hércules,4666,38,2010,2010
Huesca,726,38,2018,2018
Las Palmas,534,114,2015,2017
Leganes,537,114,2016,2018
Levante,539,304,2010,2018
Malaga,535,304,2010,2017
Mallorca,798,114,2010,2012
Osasuna,727,190,2010,2016
Racing Santander,4665,76,2010,2011
Rayo Vallecano,728,228,2011,2018
Real Betis,543,266,2011,2018
Real Madrid,541,342,2010,2018
Real Sociedad,548,342,2010,2018
Sevilla,536,342,2010,2018
Sporting Gijon,731,152,2010,2016
Valencia,532,342,2010,2018
Valladolid,720,114,2012,2018
Villarreal,533,304,2010,2018
Zaragoza,732,114,2010,2012
