ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
Arsenal,42,342,2010,2018
Aston Villa,66,228,2010,2015
Birmingham,54,38,2010,2010
Blackburn,67,76,2010,2011
Blackpool,1356,38,2010,2010
Bolton,68,76,2010,2011
Bournemouth,35,152,2015,2018
Brighton,51,76,2017,2018
Burnley,44,152,2014,2018
Cardiff,43,76,2013,2018
Chelsea,49,342,2010,2018
Crystal Palace,52,228,2013,2018
Everton,45,342,2010,2018
Fulham,36,190,2010,2018
Huddersfield,37,76,2017,2018
Hull City,64,114,2013,2016
Leicester,46,190,2014,2018
Liverpool,40,342,2010,2018
Manchester City,50,342,2010,2018
Manchester United,33,342,2010,2018
Middlesbrough,70,38,2016,2016
Newcastle,34,304,2010,2018
Norwich,71,152,2011,2015
QPR,72,114,2011,2014
Reading,53,38,2012,2012
Southampton,41,266,2012,2018
Stoke City,75,304,2010,2017
Sunderland,746,266,2010,2016
Swansea,76,266,2011,2017
Tottenham,47,342,2010,2018
Watford,38,152,2015,2018
West Brom,60,304,2010,2017
West Ham,48,304,2010,2018
Wigan,61,114,2010,2012
Wolves,39,114,2010,2018
