ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
Academica,239,188,2010,2015
Arouca,240,132,2013,2016
Aves,220,68,2017,2018
Beira-Mar,4661,90,2010,2012
Belenenses,221,200,2013,2018
Benfica,211,290,2010,2018
Boavista,222,170,2014,2018
Chaves,223,102,2016,2018
Estoril,230,196,2012,2017
FC Porto,212,290,2010,2018
Feirense,213,132,2011,2018
GIL Vicente,762,124,2011,2014
Maritimo,214,290,2010,2018
Moreirense,215,200,2012,2018
Nacional,225,256,2010,2018
Naval 1893,4664,30,2010,2010
Olhanense,807,120,2010,2013
Pacos Ferreira,234,256,2010,2017
Penafiel,235,34,2014,2014
Portimonense,216,98,2010,2018
Rio Ave,226,290,2010,2018
Santa Clara,227,34,2018,2018
SC Braga,217,290,2010,2018
Sporting CP,228,290,2010,2018
Tondela,218,136,2015,2018
U. Madeira,763,34,2015,2015
União de Leiria,4662,60,2010,2011
Vitória SC,224,290,2010,2018
Vitoria Setubal,219,290,2010,2018
