ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
AC Milan,489,342,2010,2018
AS Roma,497,342,2010,2018
Atalanta,499,304,2011,2018
Bari,508,38,2010,2010
Benevento,506,38,2017,2017
Bologna,500,304,2010,2018
Brescia,518,38,2010,2010
Cagliari,490,304,2010,2018
Carpi,519,38,2015,2015
Catania,1580,152,2010,2013
Cesena,509,114,2010,2014
Chievo,491,342,2010,2018
Crotone,501,76,2016,2017
Empoli,511,152,2014,2018
Fiorentina,502,342,2010,2018
Frosinone,512,76,2015,2018
Genoa,495,342,2010,2018
Hellas Verona,504,152,2013,2017
Inter,505,342,2010,2018
Juventus,496,342,2010,2018
Lazio,487,342,2010,2018
Lecce,867,76,2010,2011
Livorno,868,38,2013,2013
Napoli,492,342,2010,2018
Novara,513,38,2011,2011
Palermo,522,228,2010,2016
Parma,523,228,2010,2018
Pescara,525,76,2012,2016
Robur Siena,1583,76,2011,2012
Sampdoria,498,304,2010,2018
Sassuolo,488,228,2013,2018
Spal,493,76,2017,2018
Torino,503,266,2012,2018
Udinese,494,342,2010,2018
