ClubName,ApiTeamId,Matches,FirstSeason,LastSeason
Adana Demirspor,3563,148,2021,2024
Adanaspor,3564,34,2016,2016
Akhisarspor,995,238,2012,2018
Alanyaspor,996,358,2016,2025
Altay,3566,38,2021,2021
Ankaragücü,1010,216,2011,2023
Antalyaspor,1005,494,2011,2025
Balıkesirspor,3568,34,2014,2014
Başakşehir,564,500,2011,2025
Beşiktaş,549,534,2011,2025
Bodrum FK,3583,36,2024,2024
Bursaspor,1003,278,2011,2018
Denizlispor,3570,74,2019,2020
Elazığspor,3571,68,2012,2013
Erzurumspor FK,1009,74,2018,2020
Eskişehirspor,3572,176,2011,2015
Eyüpspor,3588,70,2024,2025
Fatih Karagümrük,3589,186,2020,2025
Fenerbahçe,611,534,2011,2025
Galatasaray,645,534,2011,2025
Gaziantep FK,3573,256,2019,2025
Gaziantepspor,1008,204,2011,2016
Gençlerbirliği S.K.,997,346,2011,2025
Giresunspor,3574,74,2021,2022
Göztepe,994,250,2017,2025
Hatayspor,3575,188,2020,2024
İstanbulspor,3578,74,2022,2023
Kardemir Karabukspor,1000,204,2011,2017
Kasımpaşa,1004,494,2012,2025
Kayseri Erciyesspor,11099,68,2013,2014
Kayserispor,1001,494,2011,2025
Kocaelispor,7411,34,2025,2025
Konyaspor,607,460,2013,2025
Manisaspor,3598,34,2011,2011
Mersin Talimyurdu SK,13382,136,2011,2015
Orduspor,11104,68,2011,2012
Osmanlispor,780,102,2015,2017
Pendikspor,3601,38,2023,2023
Rizespor,1007,390,2013,2025
Samsunspor,3603,142,2011,2025
Sivasspor,1002,466,2011,2024
Trabzonspor,998,534,2011,2025
Ümraniyespor,3577,36,2022,2022
Yeni Malatyaspor,999,180,2017,2021
