league_code,season_year,strength
BL,2015,0.905
BL,2016,0.850
BL,2017,0.841
BL,2018,0.891
BL,2019,0.786
BL,2020,0.700
BL,2021,0.765
BL,2022,0.769
BL,2023,0.781
BL,2024,0.813
BPL,2015,0.558
BPL,2016,0.576
BPL,2017,0.579
BPL,2018,0.680
BPL,2019,0.638
BPL,2020,0.602
BPL,2021,0.655
BPL,2022,0.606
BPL,2023,0.624
BPL,2024,0.627
ERE,2015,0.716
ERE,2016,0.674
ERE,2017,0.638
ERE,2018,0.655
ERE,2019,0.598
ERE,2020,0.567
ERE,2021,0.580
ERE,2022,0.606
ERE,2023,0.623
ERE,2024,0.676
L1,2015,0.717
L1,2016,0.724
L1,2017,0.764
L1,2018,0.838
L1,2019,0.825
L1,2020,0.775
L1,2021,0.796
L1,2022,0.770
L1,2023,0.777
L1,2024,0.769
LL,2015,0.936
LL,2016,0.946
LL,2017,1.014
LL,2018,1.045
LL,2019,0.975
LL,2020,0.853
LL,2021,0.817
LL,2022,0.780
LL,2023,0.789
LL,2024,0.790
PL,2015,1.000
PL,2016,1.000
PL,2017,1.000
PL,2018,1.000
PL,2019,1.000
PL,2020,1.000
PL,2021,1.000
PL,2022,1.000
PL,2023,1.000
PL,2024,1.000
PRT,2015,0.664
PRT,2016,0.717
PRT,2017,0.700
PRT,2018,0.744
PRT,2019,0.628
PRT,2020,0.553
PRT,2021,0.557
PRT,2022,0.554
PRT,2023,0.541
PRT,2024,0.548
SA,2015,0.901
SA,2016,0.911
SA,2017,0.910
SA,2018,1.027
SA,2019,0.904
SA,2020,0.845
SA,2021,0.881
SA,2022,0.862
SA,2023,0.864
SA,2024,0.908
TR,2015,0.707
TR,2016,0.729
TR,2017,0.704
TR,2018,0.691
TR,2019,0.662
TR,2020,0.599
TR,2021,0.615
TR,2022,0.613
TR,2023,0.630
TR,2024,0.635
