club_rank,player_name,season,club,league,current_pool,coarse_position,rt,goals,assists,minutes,dribbles_per90,status,api_player_id,card_id
1,J. Bellingham,2324,Real Madrid,LL,CAM,MID,86,19,6,2324,1.94,unchecked,129718,137957
1,Isco,1617,Real Madrid,LL,CAM,MID,84,10,8,1637,2.91,held,745,140919
1,Isco,1718,Real Madrid,LL,CAM,MID,82,7,7,1781,2.93,unchecked,745,140459
1,T. Kroos,1718,Real Madrid,LL,CDM,MID,82,5,7,2268,0.95,unchecked,752,140567
1,J. Rodríguez,1516,Real Madrid,LL,CAM,MID,81,7,8,1515,1.13,held,517,141576
1,J. Rodríguez,1415,Real Madrid,LL,CAM,MID,81,13,NR,2290,NR,unchecked,517,141996
1,J. Bellingham,2425,Real Madrid,LL,CM,MID,80,9,8,2493,1.44,written,129718,137533
1,T. Kroos,1617,Real Madrid,LL,CM,MID,80,3,12,2501,1.01,unchecked,752,141020
1,J. Rodríguez,1617,Real Madrid,LL,CAM,MID,80,8,6,1179,0.99,held,517,141118
1,Brahim Díaz,2324,Real Madrid,LL,CAM,MID,77,8,6,1582,3.13,held,744,138045
1,A. Güler,2526,Real Madrid,LL,CM,MID,76,4,9,2026,1.2,unchecked,291964,137029
1,T. Kroos,2021,Real Madrid,LL,CM,MID,75,3,10,2121,0.68,unchecked,752,139297
1,L. Modrić,1920,Real Madrid,LL,CM,MID,74,3,7,1998,1.94,unchecked,754,139766
1,Casemiro,1718,Real Madrid,LL,CDM,MID,74,5,3,2601,0.38,unchecked,747,140598
1,J. Bellingham,2526,Real Madrid,LL,CM,MID,73,6,4,1917,1.74,unchecked,129718,137184
1,L. Modrić,1819,Real Madrid,LL,CM,MID,73,3,6,2618,1.86,unchecked,754,140182
1,Casemiro,2021,Real Madrid,LL,CM,MID,72,6,4,2902,0.4,unchecked,747,139311
1,T. Kroos,1920,Real Madrid,LL,CM,MID,72,4,5,2656,1.05,unchecked,752,139718
1,F. Valverde,2425,Real Madrid,LL,CDM,MID,71,6,4,3034,0.47,unchecked,756,137478
2,Philippe Coutinho,1718,Barcelona,LL,CAM,MID,81,8,5,1304,3.17,held,147,140668
2,Dani Olmo,2526,Barcelona,LL,CAM,MID,80,7,8,2077,0.69,held,1323,137007
2,Fermín,2526,Barcelona,LL,CM,MID,80,6,9,1797,2.2,unchecked,340626,137012
2,Paulinho,1718,Barcelona,LL,CM,MID,80,9,2,1940,1.16,unchecked,12719,140677
2,I. Rakitić,1617,Barcelona,LL,CM,MID,80,8,5,2345,0.88,unchecked,149,141018
