api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
1455,134041,A. Iwobi,1617,Arsenal,PL,CAM,3,3,1462,58,Winger,medium,Wenger: wide L/R rotation in breakout-adjacent season
1455,133254,A. Iwobi,1819,Arsenal,PL,CAM,3,6,1972,65,Winger,medium,LW under Emery
1455,132864,A. Iwobi,1920,Everton,PL,CAM,1,NR,1604,33,Winger,medium,RW/right-mid under Silva then Ancelotti
1455,132457,A. Iwobi,2021,Everton,PL,CAM,1,2,1541,43,Winger,low,"Ancelotti: RW/RM, occasional wing-back - rotation-heavy"
1455,132065,A. Iwobi,2122,Everton,PL,CAM,2,2,2037,48,Winger,low,Benitez/Lampard: RW then RWB/CM late - no clean majority; wide plurality
1455,131688,A. Iwobi,2223,Everton,PL,CAM,2,7,3382,60,CM,high,Lampard's celebrated conversion to central midfield; ever-present 3382 min
1455,131100,A. Iwobi,2324,Fulham,PL,CAM,5,NR,2202,55,Winger,medium,Silva's Fulham: right wing/AM
1455,130920,A. Iwobi,2425,Fulham,PL,CAM,9,6,2994,79,Winger,medium,Fulham RW/right AM; career-best 9G/6A
1831,146590,A. Rebić,2021,AC Milan,SA,CAM,11,4,1783,79,Winger,medium,Milan LW (Ibrahimovic CF); CF cover when Ibra out
18906,133465,Ayoze Pérez,1819,Newcastle,PL,CAM,12,2,2929,79,CAM,medium,Benitez 4-4-1-1: second striker/10 off Rondon
18906,133066,Ayoze Pérez,1920,Leicester,PL,CAM,8,4,2019,76,Winger,medium,Rodgers's Leicester: RW
18906,132250,Ayoze Pérez,2122,Leicester,PL,CAM,2,3,443,56,UNSURE,UNSURE,443 fringe minutes; no citable per-season position data
18906,131860,Ayoze Pérez,2223,Leicester,PL,CAM,0,1,380,27,UNSURE,UNSURE,380 fringe minutes before Jan exit; no citable data
18906,138471,Ayoze Pérez,2223,Real Betis,LL,CAM,3,1,1395,47,Winger,medium,Betis from Jan: wide L/R under Pellegrini
18906,137699,Ayoze Pérez,2324,Real Betis,LL,CAM,9,1,2309,66,Winger,medium,Betis RW/wide rotation
47461,140699,E. Bardhi,1718,Levante,LL,CAM,9,1,1580,79,CAM,low,"Levante: attacking mid/left-sided free-kick taker - AM/LM split, thin data"
47461,139404,E. Bardhi,2021,Levante,LL,CAM,1,2,1688,49,CAM,low,Paco Lopez rotation across AM/CM - thin
203224,152698,F. Wirtz,2122,Bayer Leverkusen,BL,CAM,7,10,1864,79,CAM,high,Leverkusen's 10 until March ACL; 1864 min
1646,147347,Lucas Paquetá,1819,AC Milan,SA,CAM,1,1,851,47,CM,low,851 min after Jan arrival; Gattuso used him left interior in 4-3-3
1646,158654,Lucas Paquetá,2122,Lyon,L1,CAM,9,6,2711,79,CAM,medium,Bosz's Lyon: 10/left attacking mid
1646,130407,Lucas Paquetá,2526,West Ham,PL,CAM,4,1,1521,55,UNSURE,UNSURE,25/26 role split CM/AM under Nuno and spring half beyond reliable coverage here
1859,146085,Luis Alberto,2122,Lazio,SA,CAM,5,10,2362,79,CM,high,Sarri's settled 4-3-3: left mezzala (same logic as Milinkovic-Savic)
16,153546,M. Götze,1819,Borussia Dortmund,BL,CAM,7,7,1680,79,ST,low,"Bit-part early; regular from winter as Favre's false 9 with Reus at 10 - false-9 plurality, close call"
22016,159781,R. Oudin,1819,Reims,L1,CAM,10,4,2627,79,Winger,medium,Reims wide forward (L/R); 10-goal breakout
