api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
104814,142481,Imanol Agirretxe Arruti,1213,Real Sociedad,LL,FWD,13,,2049,80,,,
116869,142517,Óscar Javier González Marcos,1213,Valladolid,LL,MID,12,,2947,80,,,
580,142723,Jonas Gonçalves Oliveira,1213,Valencia,LL,FWD,13,,2428,80,,,
115228,142799,Hélder Manuel Marques Postiga,1213,Zaragoza,LL,FWD,14,,3163,80,,,
47282,143316,Raúl García,1112,Osasuna,LL,MID,11,,2568,80,,,
2461,143946,S. Rondón,1011,Malaga,LL,FWD,14,,2425,80,,,
30433,148600,P. Gómez,1516,Atalanta,SA,MID,7,7,2825,80,,,
1638,148609,G. Bonaventura,1516,AC Milan,SA,MID,6,8,2841,80,,,
878,148651,M. Mandžukić,1516,Juventus,SA,FWD,10,4,2050,80,,,
115141,148883,Antonio Di Natale,1415,Udinese,SA,FWD,14,,2381,80,,,
91419,149293,Alberto Gilardino,1314,Genoa,SA,FWD,15,,2936,80,,,
44354,150292,S. Giovinco,1112,Parma,SA,FWD,15,,3091,80,,,
121,150435,S. Jovetić,1112,Fiorentina,SA,FWD,14,,2347,80,,,
51070,150806,Z. Ibrahimović,1011,AC Milan,SA,FWD,14,,2534,80,,,
1091,154693,Z. Junuzović,1516,Werder Bremen,BL,MID,4,10,2355,80,,,
24947,154698,A. Meier,1516,Eintracht Frankfurt,BL,FWD,12,1,1658,80,,,
25359,154712,V. Ibišević,1516,Hertha BSC,BL,FWD,10,4,2098,80,,,
19031,154918,A. Schürrle,1516,VfL Wolfsburg,BL,MID,9,3,1904,80,,,
25642,155427,Raffael Caetano de Araújo,1314,Borussia Mönchengladbach,BL,FWD,15,,2999,80,,,
18787,155649,S. Okazaki,1314,FSV Mainz 05,BL,FWD,15,,2715,80,,,
729,155761,Á. Szalai,1213,FSV Mainz 05,BL,FWD,13,,2402,80,,,
24877,155875,A. Hunt,1213,Werder Bremen,BL,MID,11,,2345,80,,,
25303,155919,J. Schmid,1213,SC Freiburg,BL,MID,11,,2900,80,,,
3006,155969,J. Błaszczykowski,1213,Borussia Dortmund,BL,MID,11,,1937,80,,,
19031,155993,A. Schürrle,1213,Bayer Leverkusen,BL,MID,11,,2830,80,,,
21648,161508,C. Beauvue,1415,Guingamp,L1,FWD,17,,2993,80,,,
50179,162877,Yoan Gouffran,1112,Bordeaux,L1,MID,14,,2571,80,,,
37189,173439,M. Kramer,1415,ADO Den Haag,ERE,FWD,17,,2681,80,,,
37305,173441,M. de Leeuw,1415,Groningen,ERE,FWD,17,,2144,80,,,
25328,173881,A. Jóhannsson,1314,AZ Alkmaar,ERE,MID,17,,2609,80,,,
8600,178598,M. Leye,1516,Zulte Waregem,BPL,FWD,20,,3369,80,,,
79085,179649,Franck Berrier,1213,Zulte Waregem,BPL,MID,14,,3286,80,,,
8780,180110,Julien Gorius,1112,KV Mechelen,BPL,MID,15,,3057,80,,,
2928,180230,C. Benteke,1112,Genk,BPL,FWD,16,,2141,80,,,
76349,180379,M. Ogunjimi,1011,Genk,BPL,FWD,15,,2427,80,,,
6962,180559,Ronald Alejandro Vargas Aranguren,1011,Club Brugge KV,BPL,FWD,15,,1780,80,,,
457,185019,E. Derdiyok,1516,Kasımpaşa,TR,FWD,13,5,2109,80,,,
49887,185046,J. Sosa,1516,Beşiktaş,TR,MID,7,12,2485,80,,,
49862,185397,D. Ba,1415,Beşiktaş,TR,FWD,18,,2252,80,,,
42246,186872,W. Bony,1415,Swansea,PL,FWD,11,,1598,80,,,
