api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
51070,150806,Z. Ibrahimović,1011,AC Milan,SA,FWD,14,,2534,80,,,
1091,154693,Z. Junuzović,1516,Werder Bremen,BL,MID,4,10,2355,80,,,
24947,154698,A. Meier,1516,Eintracht Frankfurt,BL,FWD,12,1,1658,80,,,
25359,154712,V. Ibišević,1516,Hertha BSC,BL,FWD,10,4,2098,80,,,
19031,154918,A. Schürrle,1516,VfL Wolfsburg,BL,MID,9,3,1904,80,,,
25642,155427,Raffael Caetano de Araújo,1314,Borussia Mönchengladbach,BL,FWD,15,,2999,80,,,
18787,155649,S. Okazaki,1314,FSV Mainz 05,BL,FWD,15,,2715,80,,,
729,155761,Á. Szalai,1213,FSV Mainz 05,BL,FWD,13,,2402,80,,,
24877,155875,A. Hunt,1213,Werder Bremen,BL,MID,11,,2345,80,,,
25303,155919,J. Schmid,1213,SC Freiburg,BL,MID,11,,2900,80,,,
3006,155969,J. Błaszczykowski,1213,Borussia Dortmund,BL,MID,11,,1937,80,,,
19031,155993,A. Schürrle,1213,Bayer Leverkusen,BL,MID,11,,2830,80,,,
21648,161508,C. Beauvue,1415,Guingamp,L1,FWD,17,,2993,80,,,
37189,173439,M. Kramer,1415,ADO Den Haag,ERE,FWD,17,,2681,80,,,
37305,173441,M. de Leeuw,1415,Groningen,ERE,FWD,17,,2144,80,,,
25328,173881,A. Jóhannsson,1314,AZ Alkmaar,ERE,MID,17,,2609,80,,,
8600,178598,M. Leye,1516,Zulte Waregem,BPL,FWD,20,,3369,80,,,
79085,179649,Franck Berrier,1213,Zulte Waregem,BPL,MID,14,,3286,80,,,
8780,180110,Julien Gorius,1112,KV Mechelen,BPL,MID,15,,3057,80,,,
2928,180230,C. Benteke,1112,Genk,BPL,FWD,16,,2141,80,,,
76349,180379,M. Ogunjimi,1011,Genk,BPL,FWD,15,,2427,80,,,
6962,180559,Ronald Alejandro Vargas Aranguren,1011,Club Brugge KV,BPL,FWD,15,,1780,80,,,
457,185019,E. Derdiyok,1516,Kasımpaşa,TR,FWD,13,5,2109,80,,,
49887,185046,J. Sosa,1516,Beşiktaş,TR,MID,7,12,2485,80,,,
49862,185397,D. Ba,1415,Beşiktaş,TR,FWD,18,,2252,80,,,
42246,186872,W. Bony,1415,Swansea,PL,FWD,11,,1598,80,,,
