api_player_id,card_id,season,current_pool,goals,assists,rt,verified_position,confidence
42246,135433,1314,FWD,17,4,87,ST,high
42432,185071,1516,FWD,20,6,86,ST,medium
12975,134738,1516,FWD,15,3,85,ST,high
300,134752,1516,MID,11,5,85,CAM,medium
105378,136078,1112,FWD,17,,85,CAM,medium
30434,148582,1516,MID,13,5,85,CAM,medium
25331,156372,1112,FWD,18,,85,ST,high
1826,173242,1516,FWD,19,5,85,ST,high
2287,134443,1516,MID,8,8,84,CAM,high
1758,134586,1516,FWD,15,1,84,ST,high
12765,134731,1516,FWD,11,6,84,ST,high
554,134784,1516,FWD,7,12,84,CAM,medium
49862,136351,1112,FWD,16,,84,ST,medium
2058,141509,1516,FWD,12,7,84,Winger,high
47445,141569,1516,FWD,14,4,84,ST,medium
115355,150570,1011,FWD,19,,84,ST,high
26307,154740,1516,MID,13,3,84,CAM,medium
115030,156469,1011,FWD,17,,84,ST,medium
2296,162774,1112,FWD,20,,84,Winger,medium
2795,134665,1516,MID,11,3,83,CAM,high
18830,134742,1516,FWD,11,6,83,Winger,high
907,135241,1314,FWD,15,,83,ST,high
19169,135274,1314,FWD,15,,83,Winger,high
82563,136070,1112,FWD,15,,83,ST,high
41312,141676,1415,FWD,17,,83,ST,medium
185,143522,1112,FWD,16,,83,ST,high
30573,148345,1516,FWD,14,3,83,ST,medium
12859,154727,1516,FWD,14,4,83,ST,high
25331,154947,1516,FWD,14,3,83,ST,medium
24811,154960,1516,FWD,15,3,83,ST,high
25327,156215,1112,FWD,17,,83,Winger,medium
19031,156676,1011,MID,15,,83,Winger,high
37445,173173,1516,FWD,14,10,83,ST,medium
8628,179516,1314,FWD,22,,83,ST,medium
80378,180578,1011,FWD,18,,83,UNSURE,low
49860,184696,1516,MID,17,4,83,Winger,high
10044,185352,1415,FWD,22,,83,ST,medium
22240,135584,1314,FWD,14,,82,ST,medium
113639,135789,1213,FWD,15,,82,ST,medium
83027,135824,1213,FWD,15,,82,ST,high
114743,136431,1011,MID,12,,82,CM,medium
47290,142145,1314,FWD,16,,82,ST,high
56,142253,1314,FWD,16,,82,Winger,high
47012,142899,1112,FWD,16,,82,ST,high
1497,155158,1415,FWD,16,,82,ST,high
24947,155753,1213,FWD,16,,82,CAM,medium
114932,156451,1011,FWD,16,,82,ST,medium
105229,156746,1011,FWD,16,,82,ST,medium
5926,162140,1213,FWD,19,,82,ST,medium
76589,179752,1213,FWD,19,,82,UNSURE,low
494,108726,2526,FWD,13,1,81,ST,medium
19501,136509,1011,MID,12,,81,CM,high
51046,142401,1314,FWD,16,,81,Winger,high
115141,149295,1314,FWD,17,,81,ST,high
25643,155652,1314,FWD,17,,81,ST,medium
25359,155798,1213,FWD,15,,81,ST,high
3244,161659,1415,MID,17,,81,Winger,high
1465,162443,1213,FWD,19,,81,Winger,medium
426,173546,1415,FWD,20,,81,ST,medium
3106,135091,1415,FWD,14,,80,ST,medium
2928,135126,1415,FWD,13,,80,ST,high
6842,135838,1213,FWD,12,,80,ST,medium
49946,136344,1112,FWD,13,,80,ST,high
47282,141273,1516,MID,7,6,80,CAM,medium
47238,142110,1314,FWD,14,,80,ST,medium
2058,142361,1314,FWD,14,,80,Winger,high
105060,143535,1112,FWD,15,,80,CAM,medium
50102,143570,1112,FWD,15,,80,ST,medium
30537,149216,1314,FWD,16,,80,Winger,high
91429,149555,1314,FWD,16,,80,ST,high
115276,150136,1112,FWD,16,,80,ST,medium
39888,150320,1112,FWD,16,,80,ST,high
46695,155610,1314,FWD,16,,80,ST,high
115023,156119,1112,FWD,15,,80,ST,high
50179,162877,1112,MID,14,,80,Winger,medium
113604,163054,1011,FWD,17,,80,ST,medium
114134,174828,1011,FWD,20,,80,ST,medium
8600,179629,1213,FWD,17,,80,ST,medium
2116,179860,1213,FWD,17,,80,Winger,medium
89,179874,1213,FWD,17,,80,ST,medium
60064,185964,1213,FWD,19,,80,ST,medium
49948,186034,1213,FWD,18,,80,ST,medium
