card_id,player_name,decision,pass,position,confidence,evidence
130295,M. Rogers,WRITTEN,1,CAM,high,"Emery's Villa, number 10 behind Watkins"
130295,M. Rogers,WRITTEN,2,CAM,high,"Emery's number 10 behind Watkins"
137022,Vinícius Júnior,WRITTEN,1,Winger,high,"Xabi Alonso's Madrid, left winger"
137022,Vinícius Júnior,WRITTEN,2,Winger,high,"Alonso's left winger with Mbappe central"
144072,N. Paz,WRITTEN,1,CAM,high,"Fabregas' Como, number 10 with licence to drift left"
144072,N. Paz,WRITTEN,2,CAM,high,"Fabregas' number 10 in a 4-2-3-1"
144141,F. Dimarco,WRITTEN,1,FB,high,"Chivu's Inter 3-5-2, left wing-back"
144141,F. Dimarco,WRITTEN,2,FB,high,"Chivu's 3-5-2, left wing-back"
130281,A. Semenyo,WRITTEN,1,Winger,high,"Iraola's Bournemouth, left winger until the January move to Manchester City"
130281,A. Semenyo,WRITTEN,2,Winger,high,"Iraola's Bournemouth, left winger before the January move to Manchester City"
169344,J. Veerman,WRITTEN,1,CM,high,"Bosz's PSV 4-3-3, central midfielder/deep playmaker"
169344,J. Veerman,WRITTEN,2,CM,high,"Bosz's PSV, left-sided central midfielder and chief playmaker in the 4-3-3, Schouten as the six"
137160,Antony,WRITTEN,1,Winger,high,"Pellegrini's Betis, right winger"
137160,Antony,WRITTEN,2,Winger,high,"Pellegrini's Betis, right winger"
151152,J. Leweling,WRITTEN,1,Winger,high,"Hoeness's Stuttgart, right winger"
151152,J. Leweling,WRITTEN,2,Winger,high,"Hoeness's Stuttgart, right winger"
150932,A. Kramarić,HELD,1,CAM,medium,"Ilzer's Hoffenheim 3-4-2-1, mostly one of the two behind the striker, some games as the striker himself; CAM vs ST split"
150932,A. Kramarić,HELD,2,ST,medium,"Ilzer's Hoffenheim, second striker dropping between the lines; split ST/CAM, forward share larger"
130581,K. Dewsbury-Hall,HELD,1,CAM,medium,"Moyes's Everton, left-sided attacking midfielder / number 10 in the 4-2-3-1, some games as a left 8; CAM vs CM split"
130581,K. Dewsbury-Hall,HELD,2,CM,medium,"Moyes's Everton, left-sided eight in a 4-2-3-1, some starts as the ten; split CM/CAM, CM larger"
130364,M. Gibbs-White,HELD,1,CAM,high,"Nuno, then Postecoglou, then Dyche at Forest; number 10 in the 4-2-3-1 under all three"
130364,M. Gibbs-White,HELD,2,CAM,medium,"Number 10 under Nuno and Postecoglou, attacking midfielder in Dyche's shape; three managers in one season"
130489,E. Fernández,HELD,1,CM,high,"Maresca's Chelsea, advanced half of the pivot next to Caicedo, box-to-box 8"
130489,E. Fernández,HELD,2,CM,medium,"Maresca's advanced left 8 in the 4-2-3-1 / 4-3-3, with spells as the 10; CM the larger share"
144287,S. McTominay,HELD,1,CM,medium,"Conte's Napoli, advanced left-sided CM in the 4-1-4-1 early, then one of the two behind Hojlund in the 3-4-2-1; CM share larger, CAM the other role"
144287,S. McTominay,HELD,2,CM,high,"Conte's Napoli, left interior midfielder in the 4-1-4-1 beside De Bruyne, arriving late in the box"
180896,Marco Asensio,HELD,1,CAM,medium,"Fenerbahce under Mourinho then Tedesco, number 10 in the 4-2-3-1, occasionally dropped as a deeper 8; CAM the larger share"
180896,Marco Asensio,HELD,2,CAM,medium,"Tedesco's Fenerbahce, number ten behind the striker in a 4-2-3-1; some wide-right minutes"
137021,F. Valverde,HELD,1,CM,medium,"Xabi Alonso's Madrid, long autumn stint at right-back covering Carvajal and Alexander-Arnold, central midfield otherwise; CM vs FB split, CM judged the larger share"
137021,F. Valverde,HELD,2,CM,medium,"Xabi Alonso's Madrid, right-sided central midfielder, with a run of matches at right-back covering Carvajal/Alexander-Arnold injuries; CM share larger"
144399,D. Malen,HELD,1,ST,low,"Gasperini's Roma after a January arrival, believed used as striker/second striker in the 3-4-2-1, but no reliable recall of the split"
144399,D. Malen,HELD,2,ST,low,"no reliable recall of a Roma spell for Malen this season; career profile is a striker/wide forward, treat as unverified"
