api_player_id,card_id,player_name,season,club,league,current_pool,goals,assists,minutes,rt,verified_position,confidence,evidence
147831,157433,A. Kalimuendo,2425,Rennes,L1,ST,17,3,2589,83,,,
330,147617,José Callejón,1718,Napoli,SA,ST,10,10,3247,83,,,
278,160595,Kylian Mbappé,1617,Monaco,L1,ST,15,8,1499,83,,,
302,134299,Roberto Firmino,1617,Liverpool,PL,ST,11,7,3068,83,,,
304,133894,S. Mané,1718,Liverpool,PL,Winger,10,7,2207,83,,,
304,134710,S. Mané,1516,Southampton,PL,,11,6,2606,83,,,
522,154110,T. Müller,1718,Bayern München,BL,CAM,8,14,1964,83,,,
21447,182287,U. Bozok,2122,Kasımpaşa,TR,ST,19,6,2450,83,,,
307,133931,X. Shaqiri,1718,Stoke City,PL,Winger,8,7,3049,83,,,
47422,181319,Y. En-Nesyri,2425,Fenerbahçe,TR,ST,20,4,2002,83,,,
30509,146198,A. Belotti,2021,Torino,SA,ST,13,6,2895,82,,,
2799,145003,A. Guðmundsson,2324,Genoa,SA,ST,14,4,3024,82,,,
37268,172018,Adrián Dalmau,1819,Heracles,ERE,Winger,19,3,2573,82,,,
2063,167145,André Silva,1617,FC Porto,PRT,ST,16,5,2455,82,,,
10135,131255,Bruno Guimarães,2324,Newcastle,PL,CM,7,8,3268,82,,,
1706,148174,C. Bacca,1617,AC Milan,SA,Winger,13,3,2128,82,,,
2937,131110,D. Rice,2324,Arsenal,PL,CM,7,8,3232,82,,,
8920,176589,D. Vanzeir,2122,Union St. Gilloise,BPL,ST,14,10,2915,82,,,
928,140461,Dani Parejo,1718,Valencia,LL,Winger,7,7,3005,82,,,
552,172396,David Neres,1718,Ajax,ERE,Winger,14,11,2533,82,,,
18809,146089,Deulofeu,2122,Udinese,SA,ST,13,5,2628,82,,,
2679,166192,Dyego Sousa,1819,SC Braga,PRT,ST,15,5,2407,82,,,
790,146111,E. Džeko,2122,Inter,SA,ST,13,5,2479,82,,,
5996,130809,E. Fernández,2425,Chelsea,PL,CDM,6,7,2948,82,,,
8682,176841,G. Bruno,2021,Zulte Waregem,BPL,ST,20,4,2931,82,,,
30544,145230,G. Scamacca,2324,Atalanta,SA,ST,12,6,1457,82,,,
30544,146061,G. Scamacca,2122,Sassuolo,SA,Winger,16,,2153,82,,,
643,131949,Gabriel Jesus,2122,Manchester City,PL,Winger,8,8,1878,82,,,
47291,137836,Gorka Guruzeta,2324,Athletic Club,LL,ST,14,5,2240,82,,,
18778,130865,H. Barnes,2425,Newcastle,PL,Winger,9,4,1766,82,,,
18778,132430,H. Barnes,2021,Leicester,PL,CM,9,4,1949,82,,,
24888,131365,Hwang Hee-Chan,2324,Wolves,PL,ST,12,3,2125,82,,,
8572,178907,J. Perbet,1516,Charleroi,BPL,ST,24,0,2814,82,,,
2938,132491,J. Ward-Prowse,2021,Southampton,PL,CM,8,7,3420,82,,,
47366,140101,Jony,1819,Alaves,LL,Winger,5,10,2985,82,,,
759,140948,K. Benzema,1617,Real Madrid,LL,ST,11,5,1914,82,,,
550,172811,K. Dolberg,1617,Ajax,ERE,Winger,16,6,2158,82,,,
178077,130939,K. Schade,2425,Brentford,PL,CM,11,2,2300,82,,,
1709,158950,K. Toko Ekambi,2021,Lyon,L1,Winger,14,6,2829,82,,,
462,167597,Konstantinos Mitroglou,1516,Benfica,PRT,ST,19,3,2214,82,,,
22264,159050,L. Ajorque,2021,Strasbourg,L1,ST,16,4,2972,82,,,
386828,137461,Lamine Yamal,2425,Barcelona,LL,Winger,9,13,2771,82,,,
18833,139789,Lucas Pérez,1920,Alaves,LL,ST,11,5,2503,82,,,
2507,131869,M. Almirón,2223,Newcastle,PL,Winger,11,2,2508,82,,,
30876,147757,M. Antenucci,1718,Spal,SA,ST,11,7,2574,82,,,
