card_id,api_player_id,player_name,season,club,current_pool,proposed_position,rt
133532,174,C. Eriksen,1819,Tottenham,CDM,CAM,88
146002,1640,H. Çalhanoğlu,2122,Inter,CDM,CM,85
133507,1457,H. Mkhitaryan,1819,Arsenal,CDM,Winger,80
130729,1096,D. Szoboszlai,2425,Liverpool,CM,CAM,79
153484,147,Philippe Coutinho,1920,Bayern München,CDM,CAM,78
130733,30435,D. Kulusevski,2425,Tottenham,CM,CAM,78
131067,629,K. De Bruyne,2425,Manchester City,CM,CAM,77
130769,631,P. Foden,2425,Manchester City,CM,CAM,76
144750,1640,H. Çalhanoğlu,2425,Inter,CM,CDM,75
152523,502,J. Kimmich,2122,Bayern München,CM,CDM,74
131895,174,C. Eriksen,2223,Manchester United,CDM,CM,73
140238,147,Philippe Coutinho,1819,Barcelona,CM,Winger,71
146412,1642,F. Kessié,2021,AC Milan,CM,CDM,83
131110,2937,D. Rice,2324,Arsenal,CM,CDM,82
130809,5996,E. Fernández,2425,Chelsea,CDM,CM,82
131463,67972,C. Gallagher,2324,Chelsea,CDM,CM,80
148123,2050,É. Banega,1617,Inter,CDM,CAM,80
145272,272,A. Rabiot,2223,Juventus,CDM,CM,79
147242,205,R. Nainggolan,1819,Inter,CDM,CAM,79
133539,1459,A. Ramsey,1819,Arsenal,CDM,CM,78
147857,872,M. Pjanić,1718,Juventus,CM,CDM,78
131492,903,S. McTominay,2324,Manchester United,CDM,CM,77
147724,201,M. Brozović,1718,Inter,CM,CDM,77
132744,2289,Jorginho,2021,Chelsea,CM,CDM,74
133585,1458,M. Özil,1819,Arsenal,CDM,CAM,73
144459,116,K. Thuram,2425,Juventus,CDM,CM,72
137478,756,F. Valverde,2425,Real Madrid,CDM,CM,71
132343,905,Fred,2122,Manchester United,CM,CDM,71
147426,872,M. Pjanić,1819,Juventus,CM,CDM,70
141372,50,Koke,1516,Atletico Madrid,CM,Winger,84
135891,1695,Santi Cazorla,1213,Arsenal,CM,CAM,81
131925,633,İ. Gündoğan,2223,Manchester City,CM,CAM,80
145665,744,Brahim Díaz,2223,AC Milan,CM,CAM,77
130704,37127,M. Ødegaard,2425,Arsenal,CM,CAM,76
134393,901,Mata,1617,Manchester United,CM,Winger,75
137539,1323,Dani Olmo,2425,Barcelona,CM,CAM,74
151911,25,M. Reus,2324,Borussia Dortmund,CM,CAM,74
138770,2923,Y. Carrasco,2122,Atletico Madrid,CM,Winger,74
147790,866,J. Cuadrado,1718,Juventus,CM,Winger,73
133566,172,D. Alli,1819,Tottenham,CM,CAM,73
134382,297,A. Oxlade-Chamberlain,1617,Arsenal,CM,Winger,72
133989,901,Mata,1718,Manchester United,CM,Winger,71
131208,63577,M. Mudryk,2324,Chelsea,CM,Winger,71
152535,181812,J. Musiala,2122,Bayern München,CM,CAM,70
152261,25,M. Reus,2223,Borussia Dortmund,CM,CAM,70
