api_player_id,card_id,player_name,season,club,league,position_bucket,rt,band,target_position
752,140567,T. Kroos,1718,Real Madrid,LL,CM,79,Accomplished,CM
747,139311,Casemiro,2021,Real Madrid,LL,CDM,73,Accomplished,CDM
515,154625,F. Ribéry,1617,Bayern München,BL,Winger,78,Accomplished,Winger
515,153880,F. Ribéry,1819,Bayern München,BL,Winger,72,Accomplished,Winger
502,152884,J. Kimmich,2021,Bayern München,BL,CDM,74,Accomplished,CDM
266,159482,Á. Di María,1920,Paris Saint Germain,L1,Winger,84,Standout,Winger
640,133950,Fernandinho,1718,Manchester City,PL,CDM,73,Accomplished,CDM
174,134338,C. Eriksen,1617,Tottenham,PL,CAM,87,World Class,CAM
174,133928,C. Eriksen,1718,Tottenham,PL,CAM,86,World Class,CAM
1640,146443,H. Çalhanoğlu,2021,AC Milan,SA,CAM,75,Accomplished,CAM
30435,131145,D. Kulusevski,2324,Tottenham,PL,Winger,79,Accomplished,Winger
