id,name,yr,lc,team,from,to,ga90,basis
1992,J. Lens,2020,TR,Fatih Karagümrük,CDM,Winger,0.433,winger — low-output seasons kept per rule
1992,J. Lens,2018,TR,Beşiktaş,CDM,Winger,0.317,winger — low-output seasons kept per rule
1992,J. Lens,2017,TR,Beşiktaş,CDM,Winger,0.083,winger — low-output seasons kept per rule
1992,J. Lens,2016,TR,Fenerbahçe,CDM,Winger,0.64,winger — low-output seasons kept per rule
207,I. Perišić,2018,SA,Inter,CDM,Winger,0.366,career Winger:7 — clear
207,I. Perišić,2017,SA,Inter,CDM,Winger,0.543,career Winger:7 — clear
207,I. Perišić,2019,BL,Bayern München,CDM,Winger,0.524,career Winger:7 — clear
1989,Ricardo Andrade Quaresma Bernardo,2018,TR,Beşiktaş,CDM,Winger,0.678,clear winger (Besiktas)
1989,Ricardo Andrade Quaresma Bernardo,2017,TR,Beşiktaş,CDM,Winger,0.495,clear winger (Besiktas)
1989,Ricardo Andrade Quaresma Bernardo,2016,TR,Beşiktaş,CDM,Winger,0.592,clear winger (Besiktas)
178,Lucas Moura,2020,PL,Tottenham,CDM,Winger,0.45,wide forward (Spurs)
178,Lucas Moura,2019,PL,Tottenham,CDM,Winger,0.321,wide forward (Spurs)
554,D. Tadić,2017,PL,Southampton,CDM,Winger,0.288,Southampton wide/attacking — Lucas-named
554,D. Tadić,2016,PL,Southampton,CDM,Winger,0.297,Southampton wide/attacking — Lucas-named
1763,Candeias,2020,TR,Gençlerbirliği S.K.,CDM,Winger,0.327,right winger — Lucas-named
1763,Candeias,2016,TR,Alanyaspor,CDM,Winger,0.296,right winger — Lucas-named
2382,Pedro Henrique,2020,TR,Kayserispor,CDM,ST,0.356,forward (Kayserispor)
2382,Pedro Henrique,2019,TR,Kayserispor,CDM,ST,0.49,forward (Kayserispor)
22095,R. Hamouma,2018,L1,Saint Etienne,CDM,ST,0.451,forward/wide (career ST:4)
22095,R. Hamouma,2017,L1,Saint Etienne,CDM,ST,0.388,forward/wide (career ST:4)
25352,Salomon Armand Magloire Kalou,2018,BL,Hertha BSC,CDM,Winger,0.387,Salomon Kalou — winger/forward
25352,Salomon Armand Magloire Kalou,2017,BL,Hertha BSC,CDM,Winger,0.607,Salomon Kalou — winger/forward
30562,J. Galvão,2018,SA,Cagliari,CDM,ST,0.315,forward (career ST:5)
30562,J. Galvão,2017,SA,Cagliari,CDM,ST,0.325,forward (career ST:5)
