id,name,yr,lc,to,pool_before,rt_before
1992,J. Lens,2020,TR,Winger,CDM,42
1992,J. Lens,2018,TR,Winger,CDM,50
1992,J. Lens,2017,TR,Winger,CDM,50
1992,J. Lens,2016,TR,Winger,CDM,70
207,I. Perišić,2018,SA,Winger,CDM,76
207,I. Perišić,2017,SA,Winger,CDM,85
207,I. Perišić,2019,BL,Winger,CDM,60
1989,Ricardo Andrade Quaresma Bernardo,2018,TR,Winger,CDM,69
1989,Ricardo Andrade Quaresma Bernardo,2017,TR,Winger,CDM,64
1989,Ricardo Andrade Quaresma Bernardo,2016,TR,Winger,CDM,68
178,Lucas Moura,2020,PL,Winger,CDM,63
178,Lucas Moura,2019,PL,Winger,CDM,64
554,D. Tadić,2017,PL,Winger,CDM,68
554,D. Tadić,2016,PL,Winger,CDM,63
1763,Candeias,2020,TR,Winger,CDM,58
1763,Candeias,2016,TR,Winger,CDM,56
2382,Pedro Henrique,2020,TR,ST,CDM,61
2382,Pedro Henrique,2019,TR,ST,CDM,65
22095,R. Hamouma,2018,L1,ST,CDM,62
22095,R. Hamouma,2017,L1,ST,CDM,60
25352,Salomon Armand Magloire Kalou,2018,BL,Winger,CDM,70
25352,Salomon Armand Magloire Kalou,2017,BL,Winger,CDM,80
30562,J. Galvão,2018,SA,ST,CDM,70
30562,J. Galvão,2017,SA,ST,CDM,59
41124,B. Aouacheria,2018,PRT,CAM,CDM,48
41124,B. Aouacheria,2017,PRT,CAM,CDM,52
49852,Eljero George Rinaldo Elia,2019,TR,Winger,CDM,53
49852,Eljero George Rinaldo Elia,2018,TR,Winger,CDM,49
24,M. Philipp,2020,BL,ST,CDM,62
516,A. Robben,2018,BL,Winger,CDM,54
635,R. Mahrez,2017,PL,Winger,CDM,89
663,M. Terrier,2018,L1,Winger,CDM,70
1356,N. Dirar,2017,TR,Winger,CDM,65
2116,M. Lestienne,2019,BPL,Winger,CDM,55
2605,T. Usami,2016,BL,Winger,CDM,51
2751,M. Leckie,2018,BL,Winger,CDM,58
2790,J. Guðmunds­son,2017,PL,Winger,CDM,66
2799,A. Guðmundsson,2021,SA,ST,CDM,48
2808,A. Mehmedi,2018,BL,Winger,CDM,72
3175,Z. Ferhat,2020,L1,Winger,CDM,74
3313,Nélson Luz,2021,PRT,Winger,CDM,42
8453,A. Baby,2016,BPL,Winger,CDM,43
8616,Nill De Pauw,2017,BPL,Winger,CDM,48
13645,O. Barreto,2021,PRT,Winger,CDM,49
16839,C. Benavente,2017,BPL,Winger,CDM,59
19195,A. El Ghazi,2020,PL,Winger,CDM,78
19246,R. van La Parra,2017,PL,Winger,CDM,59
21496,N. Benezet,2018,L1,Winger,CDM,55
21503,Y. N&apos;Gbakoto,2018,L1,Winger,CDM,49
25647,I. Traoré,2016,BL,Winger,CDM,47
39095,E. Rashani,2021,L1,ST,CDM,71
39137,Z. Bytyqi,2021,TR,Winger,CDM,66
44612,Garry Rodrigues,2019,TR,Winger,CDM,55
48022,D. Irandust,2021,ERE,Winger,CDM,46
48579,Caiuby,2018,BL,Winger,CDM,54
49851,Robinho,2018,TR,Winger,CDM,57
50123,Silvestre Varela,2018,TR,Winger,CDM,54
50180,S. Gürler,2019,TR,Winger,CDM,67
62004,H. Kagé,2019,BPL,Winger,CDM,35
83023,K. Frei,2020,ERE,Winger,CDM,47
85772,J. Le Douaron,2020,L1,Winger,CDM,50
