honour_type,season_year,league_code,team_name,api_player_id,player_name,goals,honour_context,source
league_champion,2010,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2011,LL,Real Madrid,,,,,wikipedia_ccc
league_champion,2012,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2013,LL,Atletico Madrid,,,,,wikipedia_ccc
league_champion,2014,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2015,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2016,LL,Real Madrid,,,,,wikipedia_ccc
league_champion,2017,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2018,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2019,LL,Real Madrid,,,,,wikipedia_ccc
league_champion,2020,LL,Atletico Madrid,,,,,wikipedia_ccc
league_champion,2021,LL,Real Madrid,,,,,wikipedia_ccc
league_champion,2022,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2023,LL,Real Madrid,,,,,wikipedia_ccc
league_champion,2024,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2025,LL,Barcelona,,,,,wikipedia_ccc
league_champion,2010,PL,Manchester United,,,,,wikipedia_ccc
league_champion,2011,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2012,PL,Manchester United,,,,,wikipedia_ccc
league_champion,2013,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2014,PL,Chelsea,,,,,wikipedia_ccc
league_champion,2015,PL,Leicester,,,,,wikipedia_ccc
league_champion,2016,PL,Chelsea,,,,,wikipedia_ccc
league_champion,2017,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2018,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2019,PL,Liverpool,,,,,wikipedia_ccc
league_champion,2020,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2021,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2022,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2023,PL,Manchester City,,,,,wikipedia_ccc
league_champion,2024,PL,Liverpool,,,,,wikipedia_ccc
league_champion,2025,PL,Arsenal,,,,,wikipedia_ccc
league_champion,2010,SA,AC Milan,,,,,wikipedia_ccc
league_champion,2011,SA,Juventus,,,,,wikipedia_ccc
league_champion,2012,SA,Juventus,,,,,wikipedia_ccc
league_champion,2013,SA,Juventus,,,,,wikipedia_ccc
league_champion,2014,SA,Juventus,,,,,wikipedia_ccc
league_champion,2015,SA,Juventus,,,,,wikipedia_ccc
league_champion,2016,SA,Juventus,,,,,wikipedia_ccc
league_champion,2017,SA,Juventus,,,,,wikipedia_ccc
league_champion,2018,SA,Juventus,,,,,wikipedia_ccc
league_champion,2019,SA,Juventus,,,,,wikipedia_ccc
league_champion,2020,SA,Inter,,,,,wikipedia_ccc
league_champion,2021,SA,AC Milan,,,,,wikipedia_ccc
league_champion,2022,SA,Napoli,,,,,wikipedia_ccc
league_champion,2023,SA,Inter,,,,,wikipedia_ccc
league_champion,2024,SA,Napoli,,,,,wikipedia_ccc
league_champion,2025,SA,Inter,,,,,wikipedia_ccc
league_champion,2010,BL,Borussia Dortmund,,,,,wikipedia_ccc
league_champion,2011,BL,Borussia Dortmund,,,,,wikipedia_ccc
league_champion,2012,BL,Bayern München,,,,treble,wikipedia_ccc
league_champion,2013,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2014,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2015,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2016,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2017,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2018,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2019,BL,Bayern München,,,,treble,wikipedia_ccc
league_champion,2020,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2021,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2022,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2023,BL,Bayer Leverkusen,,,,unbeaten domestic season,wikipedia_ccc
league_champion,2024,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2025,BL,Bayern München,,,,,wikipedia_ccc
league_champion,2010,L1,Lille,,,,,wikipedia_ccc
league_champion,2011,L1,Montpellier,,,,,wikipedia_ccc
league_champion,2012,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2013,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2014,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2015,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2016,L1,Monaco,,,,,wikipedia_ccc
league_champion,2017,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2018,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2019,L1,Paris Saint Germain,,,,season curtailed - COVID,wikipedia_ccc
league_champion,2020,L1,Lille,,,,,wikipedia_ccc
league_champion,2021,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2022,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2023,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2024,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2025,L1,Paris Saint Germain,,,,,wikipedia_ccc
league_champion,2010,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2011,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2012,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2013,PRT,Benfica,,,,treble,wikipedia_ccc
league_champion,2014,PRT,Benfica,,,,,wikipedia_ccc
league_champion,2015,PRT,Benfica,,,,,wikipedia_ccc
league_champion,2016,PRT,Benfica,,,,,wikipedia_ccc
league_champion,2017,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2018,PRT,Benfica,,,,,wikipedia_ccc
league_champion,2019,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2020,PRT,Sporting CP,,,,,wikipedia_ccc
league_champion,2021,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2022,PRT,Benfica,,,,,wikipedia_ccc
league_champion,2023,PRT,Sporting CP,,,,,wikipedia_ccc
league_champion,2024,PRT,Sporting CP,,,,double,wikipedia_ccc
league_champion,2025,PRT,FC Porto,,,,,wikipedia_ccc
league_champion,2010,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2011,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2012,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2013,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2014,ERE,PSV Eindhoven,,,,,wikipedia_ccc
league_champion,2015,ERE,PSV Eindhoven,,,,,wikipedia_ccc
league_champion,2016,ERE,Feyenoord,,,,,wikipedia_ccc
league_champion,2017,ERE,PSV Eindhoven,,,,,wikipedia_ccc
league_champion,2018,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2020,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2021,ERE,Ajax,,,,,wikipedia_ccc
league_champion,2022,ERE,Feyenoord,,,,,wikipedia_ccc
league_champion,2023,ERE,PSV Eindhoven,,,,,wikipedia_ccc
league_champion,2024,ERE,PSV Eindhoven,,,,,wikipedia_ccc
league_champion,2025,ERE,PSV Eindhoven,,,,,wikipedia_ccc
league_champion,2010,BPL,Genk,,,,,wikipedia_ccc
league_champion,2011,BPL,Anderlecht,,,,,wikipedia_ccc
league_champion,2012,BPL,Anderlecht,,,,,wikipedia_ccc
league_champion,2013,BPL,Anderlecht,,,,,wikipedia_ccc
league_champion,2014,BPL,Gent,,,,,wikipedia_ccc
league_champion,2015,BPL,Club Brugge KV,,,,,wikipedia_ccc
league_champion,2016,BPL,Anderlecht,,,,,wikipedia_ccc
league_champion,2017,BPL,Club Brugge KV,,,,,wikipedia_ccc
league_champion,2018,BPL,Genk,,,,,wikipedia_ccc
league_champion,2019,BPL,Club Brugge KV,,,,season curtailed - COVID,wikipedia_ccc
league_champion,2020,BPL,Club Brugge KV,,,,,wikipedia_ccc
league_champion,2021,BPL,Club Brugge KV,,,,,wikipedia_ccc
league_champion,2022,BPL,Antwerp,,,,,wikipedia_ccc
league_champion,2023,BPL,Club Brugge KV,,,,,wikipedia_ccc
league_champion,2024,BPL,Union SG,,,,,wikipedia_ccc
league_champion,2025,BPL,Club Brugge KV,,,,,wikipedia_ccc
league_champion,2010,TR,Fenerbahçe,,,,,wikipedia_ccc
league_champion,2011,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2012,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2013,TR,Fenerbahçe,,,,,wikipedia_ccc
league_champion,2014,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2015,TR,Beşiktaş,,,,,wikipedia_ccc
league_champion,2016,TR,Beşiktaş,,,,,wikipedia_ccc
league_champion,2017,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2018,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2019,TR,Başakşehir,,,,,wikipedia_ccc
league_champion,2020,TR,Beşiktaş,,,,,wikipedia_ccc
league_champion,2021,TR,Trabzonspor,,,,,wikipedia_ccc
league_champion,2022,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2023,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2024,TR,Galatasaray,,,,,wikipedia_ccc
league_champion,2025,TR,Galatasaray,,,,,wikipedia_ccc
ucl_winner,2010,,Barcelona,,,,,wikipedia_ccc
ucl_winner,2011,,Chelsea,,,,,wikipedia_ccc
ucl_winner,2012,,Bayern München,,,,,wikipedia_ccc
ucl_winner,2013,,Real Madrid,,,,,wikipedia_ccc
ucl_winner,2014,,Barcelona,,,,,wikipedia_ccc
ucl_winner,2015,,Real Madrid,,,,,wikipedia_ccc
ucl_winner,2016,,Real Madrid,,,,,wikipedia_ccc
ucl_winner,2017,,Real Madrid,,,,three consecutive titles,wikipedia_ccc
ucl_winner,2018,,Liverpool,,,,,wikipedia_ccc
ucl_winner,2019,,Bayern München,,,,,wikipedia_ccc
ucl_winner,2020,,Chelsea,,,,,wikipedia_ccc
ucl_winner,2021,,Real Madrid,,,,,wikipedia_ccc
ucl_winner,2022,,Manchester City,,,,treble,wikipedia_ccc
ucl_winner,2023,,Real Madrid,,,,,wikipedia_ccc
