honour_type,season,league,player_name,award_name,context
player_of_season,2010/11,Premier League,Gareth Bale,PFA Players' Player of the Year,proxy award; PL POTS not created yet
player_of_season,2011/12,Premier League,Robin van Persie,PFA Players' Player of the Year,proxy award; PL POTS not created yet
player_of_season,2012/13,Premier League,Gareth Bale,PFA Players' Player of the Year,proxy award; PL POTS not created yet
player_of_season,2013/14,Premier League,Luis Suárez,PFA Players' Player of the Year,proxy award; PL POTS not created yet
player_of_season,2014/15,Premier League,Eden Hazard,PFA Players' Player of the Year,proxy award; PL POTS not created yet
player_of_season,2015/16,Premier League,Riyad Mahrez,PFA Players' Player of the Year,proxy award; PL POTS not created yet
player_of_season,2016/17,Premier League,N'Golo Kanté,Premier League Player of the Season,
player_of_season,2017/18,Premier League,Mohamed Salah,Premier League Player of the Season,
player_of_season,2018/19,Premier League,Virgil van Dijk,Premier League Player of the Season,
player_of_season,2019/20,Premier League,Kevin De Bruyne,Premier League Player of the Season,
player_of_season,2020/21,Premier League,Rúben Dias,Premier League Player of the Season,
player_of_season,2021/22,Premier League,Kevin De Bruyne,Premier League Player of the Season,
player_of_season,2022/23,Premier League,Erling Haaland,Premier League Player of the Season,
player_of_season,2023/24,Premier League,Phil Foden,Premier League Player of the Season,
player_of_season,2024/25,Premier League,Mohamed Salah,Premier League Player of the Season,
player_of_season,2010/11,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2011/12,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2012/13,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2013/14,La Liga,Cristiano Ronaldo,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2014/15,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2015/16,La Liga,Antoine Griezmann,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2016/17,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2017/18,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2018/19,La Liga,Lionel Messi,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2019/20,La Liga,Karim Benzema,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2020/21,La Liga,Jan Oblak,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2021/22,La Liga,Karim Benzema,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2022/23,La Liga,Marc-André ter Stegen,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2023/24,La Liga,Jude Bellingham,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2024/25,La Liga,Raphinha,LaLiga Best Player (LFP Awards),Official La Liga/LFP Player of the Season award
player_of_season,2010/11,Serie A,Zlatan Ibrahimović,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award; Guerin d'Oro was suspended this season
player_of_season,2011/12,Serie A,Andrea Pirlo,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
player_of_season,2012/13,Serie A,Andrea Pirlo,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
player_of_season,2013/14,Serie A,Andrea Pirlo,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
player_of_season,2014/15,Serie A,Carlos Tevez,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
player_of_season,2015/16,Serie A,Leonardo Bonucci,AIC Serie A Footballer of the Year,Gran Galà del Calcio player-voted award
