honour_type,season_year,api_player_id,player_name,honour_context,source
world_cup_winner,2010,367,Iker Casillas,Spain,wikipedia_ccc
world_cup_winner,2010,314,Raúl Albiol,Spain,wikipedia_ccc
world_cup_winner,2010,136,Gerard Piqué,Spain,wikipedia_ccc
world_cup_winner,2010,116941,Carlos Marchena,Spain,wikipedia_ccc
world_cup_winner,2010,116880,Carles Puyol,Spain,wikipedia_ccc
world_cup_winner,2010,33243,Andrés Iniesta,Spain,wikipedia_ccc
world_cup_winner,2010,33257,David Villa,Spain,wikipedia_ccc
world_cup_winner,2010,42041,Xavi,Spain,wikipedia_ccc
world_cup_winner,2010,33413,Fernando Torres,Spain,wikipedia_ccc
world_cup_winner,2010,108,Cesc Fàbregas,Spain,wikipedia_ccc
world_cup_winner,2010,105653,Joan Capdevila,Spain,wikipedia_ccc
world_cup_winner,2010,90515,Víctor Valdés,Spain,wikipedia_ccc
world_cup_winner,2010,901,Juan Mata,Spain,wikipedia_ccc
world_cup_winner,2010,90657,Xabi Alonso,Spain,wikipedia_ccc
world_cup_winner,2010,738,Sergio Ramos,Spain,wikipedia_ccc
world_cup_winner,2010,144,Sergio Busquets,Spain,wikipedia_ccc
world_cup_winner,2010,90521,Álvaro Arbeloa,Spain,wikipedia_ccc
world_cup_winner,2010,2299,Pedro,Spain,wikipedia_ccc
world_cup_winner,2010,185,Fernando Llorente,Spain,wikipedia_ccc
world_cup_winner,2010,514,Javi Martínez,Spain,wikipedia_ccc
world_cup_winner,2010,634,David Silva,Spain,wikipedia_ccc
world_cup_winner,2010,2054,Jesús Navas,Spain,wikipedia_ccc
world_cup_winner,2010,1624,Pepe Reina,Spain,wikipedia_ccc
world_cup_winner,2014,497,Manuel Neuer,Germany,wikipedia_ccc
world_cup_winner,2014,26489,Kevin Großkreutz,Germany,wikipedia_ccc
world_cup_winner,2014,2915,Matthias Ginter,Germany,wikipedia_ccc
world_cup_winner,2014,501,Mats Hummels,Germany,wikipedia_ccc
world_cup_winner,2014,868,Sami Khedira,Germany,wikipedia_ccc
world_cup_winner,2014,50914,Bastian Schweinsteiger,Germany,wikipedia_ccc
world_cup_winner,2014,1458,Mesut Özil,Germany,wikipedia_ccc
world_cup_winner,2014,19031,André Schürrle,Germany,wikipedia_ccc
world_cup_winner,2014,33255,Lukas Podolski,Germany,wikipedia_ccc
world_cup_winner,2014,115068,Miroslav Klose,Germany,wikipedia_ccc
world_cup_winner,2014,26293,Ron-Robert Zieler,Germany,wikipedia_ccc
world_cup_winner,2014,522,Thomas Müller,Germany,wikipedia_ccc
world_cup_winner,2014,267,Julian Draxler,Germany,wikipedia_ccc
world_cup_winner,2014,19040,Erik Durm,Germany,wikipedia_ccc
world_cup_winner,2014,90656,Philipp Lahm,Germany,wikipedia_ccc
world_cup_winner,2014,90489,Per Mertesacker,Germany,wikipedia_ccc
world_cup_winner,2014,752,Toni Kroos,Germany,wikipedia_ccc
world_cup_winner,2014,16,Mario Götze,Germany,wikipedia_ccc
world_cup_winner,2014,499,Jérôme Boateng,Germany,wikipedia_ccc
world_cup_winner,2014,1448,Shkodran Mustafi,Germany,wikipedia_ccc
world_cup_winner,2014,90640,Roman Weidenfeller,Germany,wikipedia_ccc
world_cup_winner,2014,25637,Christoph Kramer,Germany,wikipedia_ccc
world_cup_winner,2018,159,Hugo Lloris,France,wikipedia_ccc
world_cup_winner,2018,2725,Benjamin Pavard,France,wikipedia_ccc
world_cup_winner,2018,262,Presnel Kimpembe,France,wikipedia_ccc
world_cup_winner,2018,742,Raphaël Varane,France,wikipedia_ccc
world_cup_winner,2018,139,Samuel Umtiti,France,wikipedia_ccc
world_cup_winner,2018,904,Paul Pogba,France,wikipedia_ccc
world_cup_winner,2018,56,Antoine Griezmann,France,wikipedia_ccc
world_cup_winner,2018,45,Thomas Lemar,France,wikipedia_ccc
world_cup_winner,2018,2295,Olivier Giroud,France,wikipedia_ccc
world_cup_winner,2018,278,Kylian Mbappé,France,wikipedia_ccc
world_cup_winner,2018,153,Ousmane Dembélé,France,wikipedia_ccc
world_cup_winner,2018,519,Corentin Tolisso,France,wikipedia_ccc
world_cup_winner,2018,2290,N'Golo Kanté,France,wikipedia_ccc
world_cup_winner,2018,869,Blaise Matuidi,France,wikipedia_ccc
world_cup_winner,2018,780,Steven Nzonzi,France,wikipedia_ccc
world_cup_winner,2018,1897,Steve Mandanda,France,wikipedia_ccc
