honour_type,world_cup_year,country,player_name
world_cup_winner,2010,Spain,Iker Casillas
world_cup_winner,2010,Spain,Raúl Albiol
world_cup_winner,2010,Spain,Gerard Piqué
world_cup_winner,2010,Spain,Carlos Marchena
world_cup_winner,2010,Spain,Carles Puyol
world_cup_winner,2010,Spain,Andrés Iniesta
world_cup_winner,2010,Spain,David Villa
world_cup_winner,2010,Spain,Xavi
world_cup_winner,2010,Spain,Fernando Torres
world_cup_winner,2010,Spain,Cesc Fàbregas
world_cup_winner,2010,Spain,Joan Capdevila
world_cup_winner,2010,Spain,Víctor Valdés
world_cup_winner,2010,Spain,Juan Mata
world_cup_winner,2010,Spain,Xabi Alonso
world_cup_winner,2010,Spain,Sergio Ramos
world_cup_winner,2010,Spain,Sergio Busquets
world_cup_winner,2010,Spain,Álvaro Arbeloa
world_cup_winner,2010,Spain,Pedro
world_cup_winner,2010,Spain,Fernando Llorente
world_cup_winner,2010,Spain,Javi Martínez
world_cup_winner,2010,Spain,David Silva
world_cup_winner,2010,Spain,Jesús Navas
world_cup_winner,2010,Spain,Pepe Reina
world_cup_winner,2014,Germany,Manuel Neuer
world_cup_winner,2014,Germany,Kevin Großkreutz
world_cup_winner,2014,Germany,Matthias Ginter
world_cup_winner,2014,Germany,Benedikt Höwedes
world_cup_winner,2014,Germany,Mats Hummels
world_cup_winner,2014,Germany,Sami Khedira
world_cup_winner,2014,Germany,Bastian Schweinsteiger
world_cup_winner,2014,Germany,Mesut Özil
world_cup_winner,2014,Germany,André Schürrle
world_cup_winner,2014,Germany,Lukas Podolski
world_cup_winner,2014,Germany,Miroslav Klose
world_cup_winner,2014,Germany,Ron-Robert Zieler
world_cup_winner,2014,Germany,Thomas Müller
world_cup_winner,2014,Germany,Julian Draxler
world_cup_winner,2014,Germany,Erik Durm
world_cup_winner,2014,Germany,Philipp Lahm
world_cup_winner,2014,Germany,Per Mertesacker
world_cup_winner,2014,Germany,Toni Kroos
world_cup_winner,2014,Germany,Mario Götze
world_cup_winner,2014,Germany,Jérôme Boateng
world_cup_winner,2014,Germany,Shkodran Mustafi
world_cup_winner,2014,Germany,Roman Weidenfeller
world_cup_winner,2014,Germany,Christoph Kramer
world_cup_winner,2018,France,Hugo Lloris
world_cup_winner,2018,France,Benjamin Pavard
world_cup_winner,2018,France,Presnel Kimpembe
world_cup_winner,2018,France,Raphaël Varane
world_cup_winner,2018,France,Samuel Umtiti
world_cup_winner,2018,France,Paul Pogba
world_cup_winner,2018,France,Antoine Griezmann
world_cup_winner,2018,France,Thomas Lemar
world_cup_winner,2018,France,Olivier Giroud
world_cup_winner,2018,France,Kylian Mbappé
world_cup_winner,2018,France,Ousmane Dembélé
world_cup_winner,2018,France,Corentin Tolisso
world_cup_winner,2018,France,N'Golo Kanté
world_cup_winner,2018,France,Blaise Matuidi
world_cup_winner,2018,France,Steven Nzonzi
world_cup_winner,2018,France,Steve Mandanda
world_cup_winner,2018,France,Adil Rami
world_cup_winner,2018,France,Nabil Fekir
world_cup_winner,2018,France,Djibril Sidibé
world_cup_winner,2018,France,Florian Thauvin
world_cup_winner,2018,France,Lucas Hernandez
world_cup_winner,2018,France,Benjamin Mendy
world_cup_winner,2018,France,Alphonse Areola
world_cup_winner,2022,Argentina,Franco Armani
world_cup_winner,2022,Argentina,Juan Foyth
world_cup_winner,2022,Argentina,Nicolás Tagliafico
world_cup_winner,2022,Argentina,Gonzalo Montiel
world_cup_winner,2022,Argentina,Leandro Paredes
world_cup_winner,2022,Argentina,Germán Pezzella
world_cup_winner,2022,Argentina,Rodrigo De Paul
world_cup_winner,2022,Argentina,Marcos Acuña
world_cup_winner,2022,Argentina,Julián Álvarez
world_cup_winner,2022,Argentina,Lionel Messi
world_cup_winner,2022,Argentina,Ángel Di María
world_cup_winner,2022,Argentina,Gerónimo Rulli
world_cup_winner,2022,Argentina,Cristian Romero
world_cup_winner,2022,Argentina,Exequiel Palacios
world_cup_winner,2022,Argentina,Ángel Correa
world_cup_winner,2022,Argentina,Thiago Almada
world_cup_winner,2022,Argentina,Alejandro Gómez
world_cup_winner,2022,Argentina,Guido Rodríguez
world_cup_winner,2022,Argentina,Nicolás Otamendi
world_cup_winner,2022,Argentina,Alexis Mac Allister
world_cup_winner,2022,Argentina,Paulo Dybala
world_cup_winner,2022,Argentina,Lautaro Martínez
world_cup_winner,2022,Argentina,Emiliano Martínez
world_cup_winner,2022,Argentina,Enzo Fernández
world_cup_winner,2022,Argentina,Lisandro Martínez
world_cup_winner,2022,Argentina,Nahuel Molina
