api_player_id,season_year,position,source,classified_date
101724,2012,ST,auto+rule,2026-07-04
101724,2014,ST,auto+rule,2026-07-04
1096,2022,CAM,auto+rule,2026-07-04
1096,2025,CAM,auto+rule,2026-07-04
113642,2010,Winger,auto+rule,2026-07-04
113953,2012,ST,auto+rule,2026-07-04
114799,2010,CAM,auto+rule,2026-07-04
114799,2011,CAM,auto+rule,2026-07-04
115068,2012,ST,auto+rule,2026-07-04
12705,2011,Winger,auto+rule,2026-07-04
129718,2024,CAM,auto+rule,2026-07-04
12994,2015,CAM,auto+rule,2026-07-04
1323,2025,CAM,auto+rule,2026-07-04
1375,2011,ST,auto+rule,2026-07-04
1458,2016,CAM,auto+rule,2026-07-04
1464,2022,CM,auto+rule,2026-07-04
1465,2014,ST,auto+rule,2026-07-04
1485,2021,CAM,auto+rule,2026-07-04
1485,2022,CAM,auto+rule,2026-07-04
149,2013,CM,auto+rule,2026-07-04
149,2016,CM,auto+rule,2026-07-04
1496,2025,Winger,auto+rule,2026-07-04
152982,2025,CAM,auto+rule,2026-07-04
156477,2024,CAM,auto+rule,2026-07-04
157,2014,ST,auto+rule,2026-07-04
16,2018,CAM,auto+rule,2026-07-04
1640,2019,CAM,auto+rule,2026-07-04
1640,2021,CDM,auto+rule,2026-07-04
1640,2023,CDM,auto+rule,2026-07-04
1640,2025,CDM,auto+rule,2026-07-04
1642,2020,CM,auto+rule,2026-07-04
1646,2021,CAM,auto+rule,2026-07-04
1706,2013,ST,auto+rule,2026-07-04
172,2019,CAM,auto+rule,2026-07-04
176,2012,Winger,auto+rule,2026-07-04
176,2015,Winger,auto+rule,2026-07-04
1796,2025,Winger,auto+rule,2026-07-04
18,2020,Winger,auto+rule,2026-07-04
181812,2023,CAM,auto+rule,2026-07-04
181812,2024,CAM,auto+rule,2026-07-04
185,2013,ST,auto+rule,2026-07-04
1856,2017,CM,auto+rule,2026-07-04
1856,2022,CM,auto+rule,2026-07-04
1859,2019,CAM,auto+rule,2026-07-04
1859,2021,CAM,auto+rule,2026-07-04
186,2017,Winger,auto+rule,2026-07-04
18768,2022,ST,auto+rule,2026-07-04
18769,2012,Winger,auto+rule,2026-07-04
18784,2023,CAM,auto+rule,2026-07-04
18784,2024,CAM,auto+rule,2026-07-04
1917,2011,ST,auto+rule,2026-07-04
1917,2013,ST,auto+rule,2026-07-04
19220,2019,CAM,auto+rule,2026-07-04
1991,2015,CAM,auto+rule,2026-07-04
2006,2010,ST,auto+rule,2026-07-04
2006,2012,ST,auto+rule,2026-07-04
202,2013,Winger,auto+rule,2026-07-04
202,2015,Winger,auto+rule,2026-07-04
202,2016,Winger,auto+rule,2026-07-04
2056,2016,CAM,auto+rule,2026-07-04
207,2016,Winger,auto+rule,2026-07-04
22236,2023,Winger,auto+rule,2026-07-04
22240,2010,ST,auto+rule,2026-07-04
2295,2013,ST,auto+rule,2026-07-04
2295,2014,ST,auto+rule,2026-07-04
2296,2013,Winger,auto+rule,2026-07-04
2296,2014,Winger,auto+rule,2026-07-04
2297,2012,ST,auto+rule,2026-07-04
2297,2013,ST,auto+rule,2026-07-04
2297,2014,ST,auto+rule,2026-07-04
2299,2010,Winger,auto+rule,2026-07-04
2299,2013,Winger,auto+rule,2026-07-04
246,2014,ST,auto+rule,2026-07-04
247,2022,Winger,auto+rule,2026-07-04
247,2024,Winger,auto+rule,2026-07-04
247,2025,Winger,auto+rule,2026-07-04
25,2012,Winger,auto+rule,2026-07-04
25,2013,Winger,auto+rule,2026-07-04
25,2015,Winger,auto+rule,2026-07-04
266,2023,Winger,auto+rule,2026-07-04
274,2013,ST,auto+rule,2026-07-04
274,2014,ST,auto+rule,2026-07-04
276,2019,Winger,auto+rule,2026-07-04
2825,2014,ST,auto+rule,2026-07-04
2886,2010,ST,auto+rule,2026-07-04
2923,2020,Winger,auto+rule,2026-07-04
2937,2023,CM,auto+rule,2026-07-04
294,2016,CM,auto+rule,2026-07-04
300,2016,CM,auto+rule,2026-07-04
302,2015,ST,auto+rule,2026-07-04
30489,2013,ST,auto+rule,2026-07-04
306,2015,Winger,auto+rule,2026-07-04
306,2025,Winger,auto+rule,2026-07-04
329,2020,CM,auto+rule,2026-07-04
330,2013,Winger,auto+rule,2026-07-04
331,2021,Winger,auto+rule,2026-07-04
33413,2015,ST,auto+rule,2026-07-04
35530,2013,ST,auto+rule,2026-07-04
35605,2014,Winger,auto+rule,2026-07-04
37162,2013,ST,auto+rule,2026-07-04
37162,2015,ST,auto+rule,2026-07-04
41373,2013,ST,auto+rule,2026-07-04
41373,2014,ST,auto+rule,2026-07-04
44355,2012,ST,auto+rule,2026-07-04
49851,2010,Winger,auto+rule,2026-07-04
50,2015,CM,auto+rule,2026-07-04
50502,2011,ST,auto+rule,2026-07-04
510,2018,Winger,auto+rule,2026-07-04
510,2021,Winger,auto+rule,2026-07-04
510,2022,Winger,auto+rule,2026-07-04
510,2025,Winger,auto+rule,2026-07-04
51070,2014,ST,auto+rule,2026-07-04
515,2011,Winger,auto+rule,2026-07-04
516,2014,Winger,auto+rule,2026-07-04
519,2025,CM,auto+rule,2026-07-04
521,2014,ST,auto+rule,2026-07-04
54,2015,ST,auto+rule,2026-07-04
547,2017,CAM,auto+rule,2026-07-04
547,2018,CAM,auto+rule,2026-07-04
548,2016,Winger,auto+rule,2026-07-04
548,2017,Winger,auto+rule,2026-07-04
554,2023,Winger,auto+rule,2026-07-04
554,2024,Winger,auto+rule,2026-07-04
580,2014,ST,auto+rule,2026-07-04
5927,2010,ST,auto+rule,2026-07-04
5927,2011,ST,auto+rule,2026-07-04
6009,2023,ST,auto+rule,2026-07-04
629,2015,CAM,auto+rule,2026-07-04
629,2020,CAM,auto+rule,2026-07-04
629,2023,CAM,auto+rule,2026-07-04
631,2020,CAM,auto+rule,2026-07-04
631,2022,CAM,auto+rule,2026-07-04
631,2025,CAM,auto+rule,2026-07-04
633,2020,CM,auto+rule,2026-07-04
633,2021,CM,auto+rule,2026-07-04
633,2022,CM,auto+rule,2026-07-04
633,2023,CM,auto+rule,2026-07-04
634,2014,CAM,auto+rule,2026-07-04
636,2019,CAM,auto+rule,2026-07-04
636,2021,CAM,auto+rule,2026-07-04
636,2023,CAM,auto+rule,2026-07-04
644,2023,Winger,auto+rule,2026-07-04
644,2024,Winger,auto+rule,2026-07-04
745,2016,CAM,auto+rule,2026-07-04
745,2017,CAM,auto+rule,2026-07-04
746,2025,Winger,auto+rule,2026-07-04
752,2016,CM,auto+rule,2026-07-04
758,2013,Winger,auto+rule,2026-07-04
759,2010,ST,auto+rule,2026-07-04
759,2013,ST,auto+rule,2026-07-04
759,2014,ST,auto+rule,2026-07-04
791,2012,Winger,auto+rule,2026-07-04
865,2017,Winger,auto+rule,2026-07-04
878,2012,ST,auto+rule,2026-07-04
904,2015,CM,auto+rule,2026-07-04
90642,2011,ST,auto+rule,2026-07-04
90642,2013,ST,auto+rule,2026-07-04
908,2015,ST,auto+rule,2026-07-04
909,2025,Winger,auto+rule,2026-07-04
910,2014,Winger,auto+rule,2026-07-04
910,2015,Winger,auto+rule,2026-07-04
91371,2010,ST,auto+rule,2026-07-04
928,2014,CM,auto+rule,2026-07-04
928,2015,CM,auto+rule,2026-07-04
933,2013,ST,auto+rule,2026-07-04
93990,2015,Winger,auto+rule,2026-07-04
984,2022,CAM,auto+rule,2026-07-04
984,2023,CAM,auto+rule,2026-07-04
9972,2010,ST,auto+rule,2026-07-04
296,2015,CM,knowledge,2026-07-04
147,2015,CAM,knowledge,2026-07-04
106,2014,Winger,knowledge,2026-07-04
1695,2012,CM,knowledge,2026-07-04
517,2015,CAM,knowledge,2026-07-04
517,2014,CAM,knowledge,2026-07-04
108,2012,CM,knowledge,2026-07-04
30941,2012,ST,knowledge,2026-07-04
25321,2015,CAM,knowledge,2026-07-04
332,2011,ST,knowledge,2026-07-04
2927,2013,ST,knowledge,2026-07-04
8465,2012,ST,knowledge,2026-07-04
207,2010,Winger,knowledge,2026-07-04
33255,2015,Winger,knowledge,2026-07-04
156477,2025,CAM,knowledge,2026-07-04
147,2017,CAM,knowledge,2026-07-04
744,2023,CAM,knowledge,2026-07-04
517,2016,CAM,knowledge,2026-07-04
30937,2024,Winger,knowledge,2026-07-04
782,2021,CAM,knowledge,2026-07-04
1457,2019,CAM,knowledge,2026-07-04
984,2024,CAM,knowledge,2026-07-04
162016,2023,CAM,knowledge,2026-07-04
249,2023,Winger,knowledge,2026-07-04
984,2021,CAM,knowledge,2026-07-04
25,2020,Winger,knowledge,2026-07-04
517,2017,CAM,knowledge,2026-07-04
1709,2021,Winger,knowledge,2026-07-04
989,2021,ST,knowledge,2026-07-04
45,2016,Winger,knowledge,2026-07-04
41112,2025,Winger,knowledge,2026-07-04
41725,2021,CAM,knowledge,2026-07-04
573,2021,Winger,knowledge,2026-07-04
572,2016,CAM,knowledge,2026-07-04
162037,2023,CAM,knowledge,2026-07-04
2929,2025,Winger,knowledge,2026-07-04
161800,2024,Winger,knowledge,2026-07-04
40403,2023,CAM,knowledge,2026-07-04
332,2023,ST,knowledge,2026-07-04
295,2016,CM,knowledge,2026-07-04
340626,2025,CM,knowledge,2026-07-04
930,2021,CM,knowledge,2026-07-04
903,2024,CM,knowledge,2026-07-04
1159,2019,CM,knowledge,2026-07-04
36905,2024,CM,knowledge,2026-07-04
6188,2010,ST,ccc,2026-07-04
111,2017,Winger,ccc,2026-07-04
18780,2015,Winger,ccc,2026-07-04
9970,2010,CAM,ccc,2026-07-04
18748,2025,Winger,ccc,2026-07-04
41103,2017,Winger,ccc,2026-07-04
2849,2015,CAM,ccc,2026-07-04
2872,2015,FB,ccc,2026-07-04
101724,2011,ST,ccc,2026-07-04
326067,2025,Winger,ccc,2026-07-04
36905,2025,CAM,ccc,2026-07-04
161897,2025,CAM,ccc,2026-07-04
161897,2024,CAM,ccc,2026-07-04
290549,2023,Winger,ccc,2026-07-04
36905,2021,CAM,ccc,2026-07-04
37156,2017,CAM,ccc,2026-07-04
93587,2017,CM,ccc,2026-07-04
37156,2016,CAM,ccc,2026-07-04
37189,2015,ST,ccc,2026-07-04
6868,2011,ST,ccc,2026-07-04
47371,2011,ST,ccc,2026-07-04
78,2024,CAM,ccc,2026-07-04
78,2023,CAM,ccc,2026-07-04
78,2022,CAM,ccc,2026-07-04
78,2021,CAM,ccc,2026-07-04
78,2020,CAM,ccc,2026-07-04
44554,2012,ST,ccc,2026-07-04
89,2011,ST,ccc,2026-07-04
89,2010,ST,ccc,2026-07-04
12724,2025,CAM,ccc,2026-07-04
134590,2023,Winger,ccc,2026-07-04
49891,2021,Winger,ccc,2026-07-04
12724,2017,CAM,ccc,2026-07-04
44317,2017,CAM,ccc,2026-07-04

792,2025,Winger,cmbug-modal,2026-07-09
30410,2025,ST,cmbug-modal,2026-07-09
368030,2025,ST,cmbug-modal,2026-07-09
452685,2025,Winger,cmbug-default,2026-07-09
137303,2025,ST,cmbug-modal,2026-07-09
90590,2025,ST,cmbug-modal,2026-07-09
18753,2025,ST,cmbug-modal,2026-07-09
301771,2025,Winger,cmbug-modal,2026-07-09
336659,2025,Winger,cmbug-default,2026-07-09
1646,2025,CAM,cmbug-modal,2026-07-09
15911,2025,ST,cmbug-modal,2026-07-09
270510,2025,Winger,cmbug-modal,2026-07-09
336564,2025,Winger,cmbug-modal,2026-07-09
22,2025,CAM,cmbug-modal,2026-07-09
3080,2025,ST,cmbug-modal,2026-07-09
278133,2025,Winger,cmbug-default,2026-07-09
425733,2025,Winger,cmbug-default,2026-07-09
157997,2025,ST,cmbug-modal,2026-07-09
18929,2025,CAM,cmbug-modal,2026-07-09
129682,2025,ST,cmbug-modal,2026-07-09
284428,2025,Winger,cmbug-default,2026-07-09
129695,2025,Winger,cmbug-modal,2026-07-09
284324,2025,ST,cmbug-modal,2026-07-09
18,2025,Winger,cmbug-modal,2026-07-09
237819,2025,Winger,cmbug-default,2026-07-09
266657,2025,Winger,cmbug-default,2026-07-09
1696,2025,Winger,cmbug-modal,2026-07-09
162016,2025,ST,cmbug-modal,2026-07-09
284414,2025,Winger,cmbug-default,2026-07-09
311543,2025,Winger,cmbug-modal,2026-07-09
407806,2025,Winger,cmbug-default,2026-07-09
727,2024,CAM,cmbug-modal,2026-07-09
153430,2024,Winger,cmbug-modal,2026-07-09
284797,2024,Winger,cmbug-modal,2026-07-09
136723,2024,Winger,cmbug-modal,2026-07-09
792,2024,Winger,cmbug-modal,2026-07-09
19281,2024,Winger,cmbug-default,2026-07-09
81573,2024,ST,cmbug-modal,2026-07-09
266657,2024,Winger,cmbug-default,2026-07-09
269,2024,ST,cmbug-modal,2026-07-09
1864,2024,Winger,cmbug-modal,2026-07-09
18592,2024,ST,cmbug-modal,2026-07-09
18929,2024,CAM,cmbug-modal,2026-07-09
301771,2024,Winger,cmbug-modal,2026-07-09
18,2024,Winger,cmbug-modal,2026-07-09
90590,2024,ST,cmbug-modal,2026-07-09
983,2024,ST,cmbug-modal,2026-07-09
19170,2024,Winger,cmbug-modal,2026-07-09
249,2024,ST,cmbug-modal,2026-07-09
18753,2024,ST,cmbug-modal,2026-07-09
19221,2024,Winger,cmbug-modal,2026-07-09
1455,2024,CAM,cmbug-modal,2026-07-09
19128,2024,Winger,cmbug-modal,2026-07-09
2298,2024,Winger,cmbug-modal,2026-07-09
37724,2024,Winger,cmbug-modal,2026-07-09
126791,2024,Winger,cmbug-default,2026-07-09
20007,2024,Winger,cmbug-default,2026-07-09
17579,2024,Winger,cmbug-default,2026-07-09
19136,2024,Winger,cmbug-default,2026-07-09
20089,2024,Winger,cmbug-default,2026-07-09
138931,2024,Winger,cmbug-default,2026-07-09
3428,2024,Winger,cmbug-modal,2026-07-09
303467,2024,Winger,cmbug-default,2026-07-09
879,2024,CAM,cmbug-modal,2026-07-09
909,2024,CAM,cmbug-modal,2026-07-09
380690,2024,Winger,cmbug-default,2026-07-09
583,2024,ST,cmbug-modal,2026-07-09
196298,2024,Winger,cmbug-default,2026-07-09
746,2024,Winger,cmbug-modal,2026-07-09
141901,2024,Winger,cmbug-modal,2026-07-09
1455,2023,CAM,cmbug-modal,2026-07-09
153430,2023,Winger,cmbug-modal,2026-07-09
284324,2023,ST,cmbug-modal,2026-07-09
10329,2023,ST,cmbug-modal,2026-07-09
136723,2023,Winger,cmbug-modal,2026-07-09
129711,2023,ST,cmbug-modal,2026-07-09
792,2023,Winger,cmbug-modal,2026-07-09
19281,2023,Winger,cmbug-default,2026-07-09
37161,2023,Winger,cmbug-modal,2026-07-09
269,2023,ST,cmbug-modal,2026-07-09
301771,2023,Winger,cmbug-modal,2026-07-09
9971,2023,CAM,cmbug-modal,2026-07-09
157997,2023,ST,cmbug-modal,2026-07-09
19221,2023,Winger,cmbug-modal,2026-07-09
135775,2023,Winger,cmbug-modal,2026-07-09
305,2023,Winger,cmbug-modal,2026-07-09
19004,2023,ST,cmbug-modal,2026-07-09
3428,2023,Winger,cmbug-modal,2026-07-09
645,2023,Winger,cmbug-modal,2026-07-09
909,2023,CAM,cmbug-modal,2026-07-09
1166,2023,ST,cmbug-modal,2026-07-09
19361,2023,CAM,cmbug-modal,2026-07-09
2294,2023,ST,cmbug-modal,2026-07-09
284324,2022,ST,cmbug-modal,2026-07-09
153430,2022,Winger,cmbug-modal,2026-07-09
697,2022,Winger,cmbug-modal,2026-07-09
37161,2022,Winger,cmbug-modal,2026-07-09
18,2022,Winger,cmbug-modal,2026-07-09
9971,2022,CAM,cmbug-modal,2026-07-09
1455,2022,CAM,cmbug-modal,2026-07-09
18753,2022,ST,cmbug-modal,2026-07-09
19128,2022,Winger,cmbug-modal,2026-07-09
19221,2022,Winger,cmbug-modal,2026-07-09
153400,2022,Winger,cmbug-default,2026-07-09
162128,2022,Winger,cmbug-modal,2026-07-09
19428,2022,CAM,cmbug-modal,2026-07-09
37724,2022,Winger,cmbug-modal,2026-07-09
19004,2022,ST,cmbug-modal,2026-07-09
19484,2022,ST,cmbug-modal,2026-07-09
3428,2022,Winger,cmbug-modal,2026-07-09
6009,2022,ST,cmbug-modal,2026-07-09
18906,2022,CAM,cmbug-modal,2026-07-09
1605,2022,ST,cmbug-modal,2026-07-09
19361,2022,CAM,cmbug-modal,2026-07-09
2294,2022,ST,cmbug-modal,2026-07-09
691,2022,Winger,cmbug-modal,2026-07-09
21138,2021,FB,cmbug-modal,2026-07-09
2114,2021,Winger,cmbug-modal,2026-07-09
1460,2020,Winger,cmbug-modal,2026-07-09
19201,2020,CB,cmbug-default,2026-07-09
19004,2020,ST,cmbug-modal,2026-07-09
19131,2020,CB,cmbug-modal,2026-07-09
44809,2020,CB,cmbug-default,2026-07-09
758,2020,Winger,cmbug-modal,2026-07-09
18821,2020,Winger,cmbug-default,2026-07-09
671,2020,Winger,cmbug-modal,2026-07-09
18854,2020,Winger,cmbug-modal,2026-07-09
1946,2019,Winger,cmbug-modal,2026-07-09
1455,2019,CAM,cmbug-modal,2026-07-09
19221,2019,Winger,cmbug-modal,2026-07-09
18781,2019,Winger,cmbug-modal,2026-07-09
2700,2019,ST,cmbug-modal,2026-07-09
2790,2019,Winger,cmbug-modal,2026-07-09
19074,2019,Winger,cmbug-default,2026-07-09
2710,2019,ST,cmbug-modal,2026-07-09
18964,2019,FB,cmbug-modal,2026-07-09
