api_player_id,card_id,player_name,season,league_code,current_pool,rt,proposed_position,confidence,hold_reason,evidence,source_batch
25,154485,M. Reus,1617,BL,CAM,74,Winger,low,"CHANGE proposed at low confidence , unresolved","Injury-hit 1190 min; Tuchel front-three rotation across LW/AM - thin, no clean majority",batch_01_verified.csv
1856,148164,S. Milinković-Savić,1617,SA,CAM,74,CM,medium,"CHANGE proposed at medium confidence , unresolved",Inzaghi's first season: interior of the midfield three (Biglia anchor); some advanced use - CM lean,batch_01_verified.csv
522,154486,T. Müller,1617,BL,CAM,77,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Ancelotti's down year: mostly RW (Thiago/Vidal central),batch_01_verified.csv
47323,140917,Mikel Oyarzabal,1617,LL,CAM,60,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Broke through as a wide forward (2G/7A); side varied,batch_01_verified.csv
2929,154491,T. Hazard,1617,BL,CAM,73,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Wide L under Schubert then Hecking,batch_01_verified.csv
48079,144960,J. Karlsson,2324,SA,CAM,15,Winger,low,"CHANGE proposed at low confidence , unresolved",344 fringe minutes at Bologna; LW in cameos - thin sample,batch_01_verified.csv
8627,141141,T. Bongonda,1617,LL,CAM,46,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Wide rotation (LW/RW) under Berizzo at Celta,batch_01_verified.csv
8627,177355,T. Bongonda,1920,BPL,CAM,50,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Genk LW; 1420 min,batch_01_verified.csv
984,153926,J. Brandt,1718,BL,CAM,77,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Mostly wide left under Herrlich (pre-Bosz),batch_01_verified.csv
18780,160857,R. Ghezzal,1617,L1,CAM,53,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Lyon RW rotation (1284 min),batch_01_verified.csv
18780,160421,R. Ghezzal,1718,L1,CAM,58,Winger,low,"CHANGE proposed at low confidence , unresolved",995 fringe minutes at Monaco; wide when used - thin sample,batch_01_verified.csv
18780,182648,R. Ghezzal,2122,TR,CAM,64,Winger,medium,"CHANGE proposed at medium confidence , unresolved",RW in an injury-hit follow-up season,batch_01_verified.csv
1455,134041,A. Iwobi,1617,PL,CAM,58,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Wenger: wide L/R rotation in breakout-adjacent season,batch_02_verified.csv
1455,133254,A. Iwobi,1819,PL,CAM,65,Winger,medium,"CHANGE proposed at medium confidence , unresolved",LW under Emery,batch_02_verified.csv
1455,132864,A. Iwobi,1920,PL,CAM,33,Winger,medium,"CHANGE proposed at medium confidence , unresolved",RW/right-mid under Silva then Ancelotti,batch_02_verified.csv
1455,132457,A. Iwobi,2021,PL,CAM,43,Winger,low,"CHANGE proposed at low confidence , unresolved","Ancelotti: RW/RM, occasional wing-back - rotation-heavy",batch_02_verified.csv
1455,132065,A. Iwobi,2122,PL,CAM,48,Winger,low,"CHANGE proposed at low confidence , unresolved",Benitez/Lampard: RW then RWB/CM late - no clean majority; wide plurality,batch_02_verified.csv
1455,131100,A. Iwobi,2324,PL,CAM,55,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Silva's Fulham: right wing/AM,batch_02_verified.csv
1455,130920,A. Iwobi,2425,PL,CAM,79,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Fulham RW/right AM; career-best 9G/6A,batch_02_verified.csv
1831,146590,A. Rebić,2021,SA,CAM,79,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Milan LW (Ibrahimovic CF); CF cover when Ibra out,batch_02_verified.csv
18906,133066,Ayoze Pérez,1920,PL,CAM,76,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Rodgers's Leicester: RW,batch_02_verified.csv
18906,138471,Ayoze Pérez,2223,LL,CAM,47,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Betis from Jan: wide L/R under Pellegrini,batch_02_verified.csv
18906,137699,Ayoze Pérez,2324,LL,CAM,66,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Betis RW/wide rotation,batch_02_verified.csv
1646,147347,Lucas Paquetá,1819,SA,CAM,47,CM,low,"CHANGE proposed at low confidence , unresolved",851 min after Jan arrival; Gattuso used him left interior in 4-3-3,batch_02_verified.csv
16,153546,M. Götze,1819,BL,CAM,79,ST,low,"CHANGE proposed at low confidence , unresolved","Bit-part early; regular from winter as Favre's false 9 with Reus at 10 - false-9 plurality, close call",batch_02_verified.csv
22016,159781,R. Oudin,1819,L1,CAM,79,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Reims wide forward (L/R); 10-goal breakout,batch_02_verified.csv
22016,158980,R. Oudin,2021,L1,CAM,65,Winger,low,"CHANGE proposed at low confidence , unresolved",Bordeaux wide rotation,batch_02_verified.csv
22016,158540,R. Oudin,2122,L1,CAM,69,Winger,low,"CHANGE proposed at low confidence , unresolved",Bordeaux wide rotation; 1742 min,batch_02_verified.csv
19361,132702,S. Benrahma,2021,PL,CAM,59,Winger,low,"CHANGE proposed at low confidence , unresolved",Oct arrival; eased in as wide-left rotation under Moyes,batch_02_verified.csv
19361,132289,S. Benrahma,2122,PL,CAM,79,Winger,medium,"CHANGE proposed at medium confidence , unresolved",LW in Moyes's 4-2-3-1; some 10,batch_02_verified.csv
19361,131886,S. Benrahma,2223,PL,CAM,67,Winger,medium,"CHANGE proposed at medium confidence , unresolved",LW,batch_02_verified.csv
19361,131485,S. Benrahma,2324,PL,CAM,28,Winger,low,"CHANGE proposed at low confidence , unresolved",616 fringe min before Jan exit; LW in cameos,batch_02_verified.csv
19361,157475,S. Benrahma,2425,L1,CAM,46,Winger,low,"CHANGE proposed at low confidence , unresolved",737 fringe min at Lyon; wide in cameos,batch_02_verified.csv
1243,132880,T. Souček,1920,PL,CAM,57,CDM,medium,"CHANGE proposed at medium confidence , unresolved",Feb arrival straight into Moyes's double pivot beside Rice,batch_02_verified.csv
49921,182836,A. Büyük,2021,TR,CAM,78,ST,medium,"CHANGE proposed at medium confidence , unresolved",Adem Buyuk: veteran centre-forward; 17-goal Super Lig season as Malatyaspor's 9,batch_02_verified.csv
25467,153890,B. Raman,1819,BL,CAM,78,Winger,low,"CHANGE proposed at low confidence , unresolved","Fortuna's quick wide forward (LW/ST share) - plurality wide, thin data",batch_02_verified.csv
36905,172451,G. Til,1718,ERE,CAM,71,CM,medium,"CHANGE proposed at medium confidence , unresolved",AZ box-to-box/advanced 8,batch_02_verified.csv
36905,172082,G. Til,1819,ERE,CAM,77,CM,medium,"CHANGE proposed at medium confidence , unresolved",AZ advanced 8; 12-goal box-crashing season,batch_02_verified.csv
22235,160630,J. Bamba,1617,L1,CAM,52,Winger,low,"CHANGE proposed at low confidence , unresolved",834 fringe minutes at Angers; wide in cameos,batch_02_verified.csv
22235,160200,J. Bamba,1718,L1,CAM,72,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Saint-Etienne LW,batch_02_verified.csv
22235,158491,J. Bamba,2122,L1,CAM,44,Winger,medium,"CHANGE proposed at medium confidence , unresolved",LW under Gourvennec,batch_02_verified.csv
22235,158086,J. Bamba,2223,L1,CAM,68,Winger,medium,"CHANGE proposed at medium confidence , unresolved",LW/left AM under Fonseca,batch_02_verified.csv
2913,160351,Kwon Chang-Hoon,1718,L1,CAM,78,Winger,low,"CHANGE proposed at low confidence , unresolved","Dijon: wide-left/AM rotation - plurality wide, thin data",batch_02_verified.csv
25297,154078,M. Gregoritsch,1718,BL,CAM,78,ST,low,"CHANGE proposed at low confidence , unresolved","Augsburg: tall forward used CF/left - CF plurality, thin data",batch_02_verified.csv
25297,153710,M. Gregoritsch,1819,BL,CAM,61,ST,low,"CHANGE proposed at low confidence , unresolved",CF/LW/AM rotation - thin,batch_02_verified.csv
3246,160844,N. Pépé,1617,L1,CAM,46,Winger,low,"CHANGE proposed at low confidence , unresolved",1309 rotation minutes as a young wide forward at Angers,batch_02_verified.csv
3246,160419,N. Pépé,1718,L1,CAM,78,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Lille: RW (some CF under Bielsa's early-season experiments),batch_02_verified.csv
3246,132356,N. Pépé,2122,PL,CAM,45,Winger,low,"CHANGE proposed at low confidence , unresolved",697 fringe min; RW in cameos,batch_02_verified.csv
3246,181806,N. Pépé,2324,TR,CAM,56,Winger,low,"CHANGE proposed at low confidence , unresolved",1128 min at Trabzonspor; RW when used,batch_02_verified.csv
510,154193,S. Gnabry,1718,BL,CAM,78,Winger,low,"CHANGE proposed at low confidence , unresolved","Nagelsmann's 3-4-3/3-5-2: rotated wing, wing-back and second striker - wide plurality, no clean majority",batch_02_verified.csv
510,153096,S. Gnabry,2021,BL,CAM,70,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Flick: RW/LW in an injury/rotation season (1652 min),batch_02_verified.csv
744,138045,Brahim Díaz,2324,LL,CAM,77,Winger,low,"CHANGE proposed at low confidence , unresolved","Ancelotti: RW starts plus AM cover for Bellingham - wide plurality, close call",batch_02_verified.csv
8965,177032,F. Selemani,2021,BPL,CAM,69,Winger,low,"CHANGE proposed at low confidence , unresolved",Kortrijk's wide forward per Belgian league coverage,batch_02_verified.csv
8965,176613,F. Selemani,2122,BPL,CAM,77,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Kortrijk's main wide attacker; 13-goal season,batch_02_verified.csv
8965,176231,F. Selemani,2223,BPL,CAM,65,Winger,low,"CHANGE proposed at low confidence , unresolved",Same wide role; 2058 min,batch_02_verified.csv
30543,145912,G. Raspadori,2122,SA,CAM,77,ST,low,"CHANGE proposed at low confidence , unresolved","Dionisi: second striker off Scamacca with wide-left spells - forward plurality, close call",batch_02_verified.csv
49857,183584,İ. Kahveci,1819,TR,CAM,57,CM,low,"CHANGE proposed at low confidence , unresolved","Buruk's midfield: 8/AM hybrid - central plurality, thin split data",batch_02_verified.csv
49857,183217,İ. Kahveci,1920,TR,CAM,54,CM,low,"CHANGE proposed at low confidence , unresolved",Same 8/AM hybrid in the title-winning squad,batch_02_verified.csv
900,134054,J. Lingard,1617,PL,CAM,52,Winger,low,"CHANGE proposed at low confidence , unresolved","1367 rotation minutes, mostly right-sided under Mourinho",batch_02_verified.csv
37156,172351,J. Toornstra,1718,ERE,CAM,77,CM,medium,"CHANGE proposed at medium confidence , unresolved",Continuity of the El Ahmadi-Toornstra-Vilhena midfield three post-title,batch_02_verified.csv
983,153823,L. Bailey,1819,BL,CAM,56,Winger,medium,"CHANGE proposed at medium confidence , unresolved",LW; reduced impact,batch_02_verified.csv
983,153442,L. Bailey,1920,BL,CAM,63,Winger,low,"CHANGE proposed at low confidence , unresolved",1093 min; wide rotation,batch_02_verified.csv
897,132142,M. Greenwood,2122,PL,CAM,61,Winger,medium,"CHANGE proposed at medium confidence , unresolved",RW until Jan (1281 min),batch_02_verified.csv
50180,184202,S. Gürler,1718,TR,CAM,77,Winger,low,"CHANGE proposed at low confidence , unresolved",Serdar Gurler: right winger by Turkish league records; 12-goal Osmanlispor/Ankaraspor season,batch_02_verified.csv
18805,134116,A. Doucouré,1617,PL,CAM,38,CM,low,"CHANGE proposed at low confidence , unresolved",1358 min settling-in season in the Watford engine room,batch_02_verified.csv
18805,132981,A. Doucouré,1920,PL,CAM,64,CM,medium,"CHANGE proposed at medium confidence , unresolved",Same box-to-box role; 3166 min,batch_02_verified.csv
47500,145941,D. Verde,2122,SA,CAM,76,Winger,low,"CHANGE proposed at low confidence , unresolved",Spezia wide forward (L/R) under Motta,batch_02_verified.csv
30437,146417,M. Barrow,2021,SA,CAM,76,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Mihajlovic's Bologna: left wing/wide forward,batch_02_verified.csv
26,153940,M. Wolf,1718,BL,CAM,76,Winger,low,"CHANGE proposed at low confidence , unresolved","Kovac's 3-4-2-1: right wing AND right wing-back - wide-right plurality across roles, no clean bucket majority",batch_02_verified.csv
26,153197,M. Wolf,1920,BL,CAM,36,FB,low,"CHANGE proposed at low confidence , unresolved","Hertha loan: used at right-back/right-mid - RB plurality, thin data",batch_02_verified.csv
47447,141144,P. Sisto,1617,LL,CAM,56,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Celta LW under Berizzo,batch_02_verified.csv
47447,140714,P. Sisto,1718,LL,CAM,76,Winger,medium,"CHANGE proposed at medium confidence , unresolved",Celta LW; 5G/9A season,batch_02_verified.csv
47447,140266,P. Sisto,1819,LL,CAM,47,Winger,low,"CHANGE proposed at low confidence , unresolved",844 min; LW rotation,batch_02_verified.csv
53,140932,Á. Correa,1617,LL,CAM,73,Winger,low,"CHANGE proposed at low confidence , unresolved","Simeone 4-4-2: right-mid/second-striker hybrid - wide plurality, rotation-heavy 1213 min",batch_02_verified.csv
53,140473,Á. Correa,1718,LL,CAM,75,Winger,low,"CHANGE proposed at low confidence , unresolved",Same RM/SS hybrid; no clean bucket majority,batch_02_verified.csv
53,140053,Á. Correa,1819,LL,CAM,54,Winger,low,"CHANGE proposed at low confidence , unresolved",Same hybrid role,batch_02_verified.csv
