card_id,api_player_id,player_name,season,position_pool,rt,band
108528,3460,William Saliba,2526,,45,Good
108530,444,Cristhian Mosquera,2526,,22,Poor
108536,4072,Gabriel Magalhães,2526,,72,Excellent
108547,456,H. Onyekuru,2526,Winger,83,Exceptional
108549,3461,Leandro Trossard,2526,,74,Excellent
108551,450,Noni Madueke,2526,,45,Good
108553,4941,Kai Havertz,2526,,57,Good
108554,442,E. Taşdemir,2526,GK,75,Excellent
108561,448,Martín Zubimendi,2526,,66,Very Good
108565,845,Rúben Dias,2526,,55,Good
108567,857,Nathan Aké,2526,,19,Poor
108571,846,Joško Gvardiol,2526,,65,Very Good
108573,847,Nico O'Reilly,2526,,76,Excellent
108580,843,F. Chalov,2526,GK,75,Excellent
108582,850,Tijjani Reijnders,2526,,65,Very Good
108588,4267,Rodri,2526,,38,Okay
108589,848,Bernardo Silva,2526,,63,Very Good
108597,1799,Noussair Mazraoui,2526,,22,Poor
108598,1790,Matthijs de Ligt,2526,,45,Good
108599,4118,Harry Maguire,2526,,60,Very Good
108601,1789,Leny Yoro,2526,,25,Poor
108602,1791,Luke Shaw,2526,,52,Good
108604,1797,Mason Mount,2526,,47,Good
108605,4119,Matheus Cunha,2526,,76,Excellent
108607,1796,Bryan Mbeumo,2526,Winger,80,Exceptional
108608,4120,Benjamin Šeško,2526,,79,Excellent
108612,1801,Patrick Dorgu,2526,,72,Excellent
108613,1792,Amad Diallo,2526,,61,Very Good
108615,1806,Manuel Ugarte,2526,,21,Poor
108617,503,Matty Cash,2526,,70,Excellent
108619,519,C. Tolisso,2526,CAM,41,Okay
108621,504,Ezri Konsa,2526,,27,Poor
108623,4289,Tyrone Mings,2526,,23,Poor
108633,1629,A. Conti,2526,GK,75,Excellent
108637,510,S. Gnabry,2526,Winger,74,Excellent
108645,4304,Douglas Luiz,2526,,39,Okay
108658,336,Miloš Kerkez,2526,,60,Very Good
108660,4002,Conor Bradley,2526,,41,Okay
108662,4429,Jeremie Frimpong,2526,,41,Okay
108669,338,Giorgi Mamardashvili,2526,GK,46,Good
108683,787,Adrien Truffert,2526,,68,Excellent
108687,784,Álex Jiménez,2526,,45,Good
108688,799,James Hill,2526,,57,Good
108689,795,Evanilson,2526,,61,Very Good
108692,783,Đorđe Petrović,2526,GK,75,Excellent
108694,2372,David Brooks,2526,,58,Very Good
108695,789,Alex Scott,2526,,57,Good
108696,3900,Ryan Christie,2526,,49,Good
108697,788,Tyler Adams,2526,,58,Very Good
108703,355,Luke O'Nien,2526,,41,Okay
108704,345,Omar Alderete,2526,,52,Good
108706,343,Nordi Mukiele,2526,,70,Excellent
108707,347,Trai Hume,2526,,59,Very Good
108710,353,Wilson Isidor,2526,,63,Very Good
108711,360,V. Simić,2526,,31,Okay
108712,342,Robin Roefs,2526,GK,75,Excellent
108715,4743,Habib Diarra,2526,,59,Very Good
108718,348,Granit Xhaka,2526,,65,Very Good
108719,485,Lewis Dunk,2526,,45,Good
108722,486,Ferdi Kadıoğlu,2526,,45,Good
108723,483,K. Kvaratskhelia,2526,Winger,68,Excellent
108724,491,Maxim De Cuyper,2526,,68,Excellent
108725,496,Joël Veltman,2526,,45,Good
108726,494,Danny Welbeck,2526,,81,Exceptional
108727,482,Bart Verbruggen,2526,GK,75,Excellent
108729,489,Yankuba Minteh,2526,,67,Very Good
108731,487,Carlos Baleba,2526,,24,Poor
108733,4369,James Milner,2526,,47,Good
108734,4638,Kaoru Mitoma,2526,,60,Very Good
108737,2173,Pascal Groß,2526,,57,Good
108738,2173,Pascal Groß,2526,,32,Okay
108740,2373,Aaron Hickey,2526,,20,Poor
108741,467,Rico Henry,2526,,41,Okay
108742,466,Sepp van den Berg,2526,,50,Good
108743,464,Kristoffer Ajer,2526,,42,Okay
108744,476,Nathan Collins,2526,,58,Very Good
108745,477,Keane Lewis-Potter,2526,,71,Excellent
108748,463,Michael Kayode,2526,,52,Good
108749,473,Igor Thiago,2526,ST,89,World Class
108751,474,Jordan Henderson,2526,,56,Good
108752,472,Kevin Schade,2526,,79,Excellent
108753,470,Mathias Jensen,2526,,58,Very Good
108755,471,Dango Ouattara,2526,,77,Excellent
108756,475,Mikkel Damsgaard,2526,,71,Excellent
108757,469,Vitaly Janelt,2526,,61,Very Good
108762,401,Jorrel Hato,2526,,23,Poor
108786,826,Calvin Bassey,2526,,45,Good
108787,825,Joachim Andersen,2526,,42,Okay
108788,840,Jorge Cuenca,2526,,21,Poor
108790,827,Ryan Sessegnon,2526,,66,Very Good
108791,4377,Issa Diop,2526,,45,Good
108792,4559,Antonee Robinson,2526,,45,Good
108793,833,J. Bijol,2526,CB,61,Very Good
108794,4095,Rodrigo Muniz,2526,,38,Okay
108795,835,Samuel Chukwueze,2526,,63,Very Good
108796,823,Bernd Leno,2526,GK,75,Excellent
108797,830,Harry Wilson,2526,Winger,85,World Class
108799,3651,Oscar Bobb,2526,,18,Poor
108801,832,Alex Iwobi,2526,,68,Excellent
108802,828,Saša Lukić,2526,,52,Good
108803,838,Kevin,2526,,46,Good
108804,837,Joshua King,2526,,52,Good
108805,831,Emile Smith Rowe,2526,,55,Good
108806,4023,Kieran Trippier,2526,,42,Okay
108810,3696,Sven Botman,2526,,53,Good
108812,712,Fabian Schär,2526,,22,Poor
108816,701,Dan Burn,2526,,59,Very Good
108818,5140,Yoane Wissa,2526,,31,Okay
108823,4279,William Osula,2526,,67,Very Good
108825,706,J. Brenet,2526,FB,54,Good
108826,707,Nick Woltemade,2526,,74,Excellent
108828,3694,Nick Pope,2526,GK,72,Excellent
108833,704,A. Amade,2526,CDM,44,Okay
108835,715,C. Baumgartner,2526,ST,44,Okay
108839,703,Lewis Miley,2526,,61,Very Good
108840,2134,Michael Keane,2526,,65,Very Good
108841,805,James Tarkowski,2526,,66,Very Good
108842,806,Jake O'Brien,2526,,52,Good
108845,815,Beto,2526,,74,Excellent
108846,813,Thierno Barry,2526,,67,Very Good
108847,803,Jordan Pickford,2526,GK,75,Excellent
108849,810,Iliman Ndiaye,2526,,74,Excellent
108850,812,Jack Grealish,2526,,70,Excellent
108852,811,Carlos Alcaraz,2526,,35,Okay
108853,3800,Idrissa Gana Gueye,2526,,61,Very Good
108854,4094,Merlin Röhl,2526,,38,Okay
108855,804,James Garner,2526,,69,Excellent
108856,808,Tim Iroegbunam,2526,,44,Okay
108857,4825,Harrison Armstrong,2526,,18,Poor
108858,366,Jayden Bogle,2526,,58,Very Good
108860,365,Pascal Struijk,2526,,42,Okay
108862,364,D. Joveljić,2526,ST,59,Very Good
108863,376,Diogo Leite,2526,CB,61,Very Good
108865,372,Éder Militão,2526,CB,66,Very Good
108866,374,Noah Okafor,2526,,71,Excellent
108868,362,Lucas Perri,2526,GK,58,Very Good
108869,378,Alex Telles,2526,GK,66,Very Good
108872,3859,Sean Longstaff,2526,,60,Very Good
108874,369,Diogo Costa,2526,GK,72,Excellent
108879,436,Jaydee Canvot,2526,,23,Poor
108880,423,R. Matondo,2526,ST,45,Good
108881,8593,Chadi Riad,2526,,41,Okay
108889,509,A. Davies,2526,FB,28,Poor
108894,428,İ. Çipe,2526,GK,44,Okay
108895,430,B. Şen,2526,,25,Poor
108896,435,Will Hughes,2526,,24,Poor
108902,545,N. Mazraoui,2526,Winger,30,Okay
108907,2871,Luca Netz,2526,,48,Good
108908,544,N. Lang,2526,Winger,27,Poor
108910,4788,Ola Aina,2526,,24,Poor
108914,4026,Taiwo Awoniyi,2526,,58,Very Good
108915,4472,Chris Wood,2526,,48,Good
108918,542,R. Gravenberch,2526,CDM,73,Excellent
108921,547,D. van de Beek,2526,CAM,57,Good
108938,4522,Dilane Bakwa,2526,,45,Good
108939,5635,Radu Drăguşin,2526,,18,Poor
108941,722,Destiny Udogie,2526,,41,Okay
108952,4923,Dominic Solanke,2526,,47,Good
108954,728,Randal Kolo Muani,2526,,38,Okay
108956,718,D. Geiger,2526,GK,75,Excellent
108959,737,Odriozola,2526,FB,70,Excellent
108962,8590,Yves Bissouma,2526,,18,Poor
108971,723,Joelinton,2526,CM,59,Very Good
108972,1649,P. Cutrone,2526,ST,45,Good
108974,8981,Axel Disasi,2526,,23,Poor
108979,4384,Oliver Scarles,2526,,19,Poor
108981,2018,Valentín Castellanos,2526,,54,Good
108982,2018,Valentín Castellanos,2526,,62,Very Good
108983,4012,Pablo Felipe,2526,,29,Poor
108984,4012,Pablo Felipe,2526,,65,Very Good
108987,4092,Crysencio Summerville,2526,,69,Excellent
108991,1647,Tomáš Souček,2526,,65,Very Good
108998,4520,Bashir Humphreys,2526,,24,Poor
109005,411,Zian Flemming,2526,,77,Excellent
109011,4696,James Ward-Prowse,2526,,35,Okay
109012,408,Josh Cullen,2526,,58,Very Good
109016,540,C. Eiting,2526,CDM,65,Very Good
109018,523,Yerson Mosquera,2526,,25,Poor
109020,3904,Ladislav Krejčí,2526,,60,Very Good
109021,6410,Adam Armstrong,2526,,50,Good
109022,533,R. Kristensen,2526,FB,49,Good
109029,528,João Gomes,2526,,45,Good
109030,4351,Rodrigo Gomes,2526,,57,Good
109031,532,M. de Ligt,2526,CB,62,Very Good
109060,792,J. Kluivert,2526,Winger,40,Okay
130260,247,C. Gakpo,2526,Winger,80,Exceptional
130261,280,Alisson Becker,2526,GK,72,Excellent
130262,284,J. Gomez,2526,FB,55,Good
130263,289,A. Robertson,2526,FB,56,Good
130264,290,V. van Dijk,2526,CB,74,Excellent
130265,293,C. Jones,2526,CDM,64,Very Good
130266,306,Mohamed Salah,2526,Winger,82,Exceptional
130267,1096,D. Szoboszlai,2526,CM,80,Exceptional
130268,1145,I. Konaté,2526,CB,70,Excellent
130269,6716,A. Mac Allister,2526,CDM,64,Very Good
130270,24760,G. Mamardashvili,2526,GK,46,Good
130271,30410,F. Chiesa,2526,ST,48,Good
130272,152654,J. Frimpong,2526,FB,54,Good
130273,174565,H. Ekitike,2526,ST,82,Exceptional
130274,203224,F. Wirtz,2526,CM,72,Excellent
130275,206254,M. Kerkez,2526,FB,64,Very Good
130276,1150,T. Adams,2526,CDM,65,Very Good
130277,6610,M. Senesi,2526,CB,65,Very Good
130278,18869,A. Smith,2526,FB,54,Good
130279,18870,D. Brooks,2526,CM,58,Very Good
130280,19245,M. Tavernier,2526,CM,78,Excellent
130281,19281,A. Semenyo,2526,CM,82,Exceptional
130282,20093,J. Hill,2526,CB,66,Very Good
130283,22136,B. Diakité,2526,CB,57,Good
130284,118307,Đ. Petrović,2526,GK,75,Excellent
130285,152856,Evanilson,2526,ST,61,Very Good
130286,162267,A. Truffert,2526,FB,69,Excellent
130287,304853,A. Scott,2526,CDM,66,Very Good
130288,368030,E. Kroupi,2526,ST,81,Exceptional
130289,452685,R. Ngumoha,2526,Winger,47,Good
130290,249,D. Malen,2526,ST,59,Very Good
130291,1904,B. Kamara,2526,CDM,67,Very Good
130292,2724,L. Digne,2526,FB,70,Excellent
130293,2926,Y. Tielemans,2526,CDM,70,Excellent
130294,19071,E. Buendía,2526,CM,73,Excellent
130295,19170,M. Rogers,2526,CM,84,Exceptional
130296,19179,T. Mings,2526,CB,57,Good
130297,19191,J.  McGinn,2526,CM,74,Excellent
130298,19298,M. Cash,2526,FB,72,Excellent
130299,19354,E. Konsa,2526,CB,65,Very Good
130300,19366,O. Watkins,2526,ST,86,World Class
130301,36878,M. Bizot,2526,GK,38,Okay
130302,46815,Pau Torres,2526,CB,60,Very Good
130303,137303,E. Guessand,2526,ST,28,Poor
130304,138816,I. Maatsen,2526,FB,62,Very Good
130305,162714,A. Onana,2526,CDM,70,Excellent
130306,284457,L. Bogarde,2526,CDM,61,Very Good
130307,169,K. Trippier,2526,FB,56,Good
130309,2806,F. Schär,2526,CB,64,Very Good
130310,10135,Bruno Guimarães,2526,CM,83,Exceptional
130311,18778,H. Barnes,2526,Winger,66,Very Good
130312,18911,N. Pope,2526,GK,72,Excellent
130313,18961,D. Burn,2526,CB,63,Very Good
130314,19163,J. Murphy,2526,Winger,63,Very Good
130315,20355,A. Ramsdale,2526,GK,50,Good
