card_id,api_player_id,player_name,season,league_code,season_year,from_pool,to_pool,rt_before,confidence
157433,147831,"A. Kalimuendo",2425,L1,2024,ST,ST,83,high
147617,330,"José Callejón",1718,SA,2017,ST,Winger,83,high
160595,278,"Kylian Mbappé",1617,L1,2016,ST,ST,83,high
134299,302,"Roberto Firmino",1617,PL,2016,ST,ST,83,high
133894,304,"S. Mané",1718,PL,2017,Winger,Winger,83,high
134710,304,"S. Mané",1516,PL,2015,,Winger,83,medium
154110,522,"T. Müller",1718,BL,2017,CAM,CAM,83,low
182287,21447,"U. Bozok",2122,TR,2021,ST,ST,83,medium
133931,307,"X. Shaqiri",1718,PL,2017,Winger,Winger,83,high
181319,47422,"Y. En-Nesyri",2425,TR,2024,ST,ST,83,high
146198,30509,"A. Belotti",2021,SA,2020,ST,ST,82,high
145003,2799,"A. Guðmundsson",2324,SA,2023,ST,CAM,82,medium
172018,37268,"Adrián Dalmau",1819,ERE,2018,Winger,ST,82,medium
167145,2063,"André Silva",1617,PRT,2016,ST,ST,82,high
131255,10135,"Bruno Guimarães",2324,PL,2023,CM,CM,82,medium
148174,1706,"C. Bacca",1617,SA,2016,Winger,ST,82,high
131110,2937,"D. Rice",2324,PL,2023,CM,CDM,82,medium
176589,8920,"D. Vanzeir",2122,BPL,2021,ST,ST,82,medium
140461,928,"Dani Parejo",1718,LL,2017,Winger,CDM,82,medium
172396,552,"David Neres",1718,ERE,2017,Winger,Winger,82,high
146089,18809,"Deulofeu",2122,SA,2021,ST,CAM,82,medium
166192,2679,"Dyego Sousa",1819,PRT,2018,ST,ST,82,medium
146111,790,"E. Džeko",2122,SA,2021,ST,ST,82,high
130809,5996,"E. Fernández",2425,PL,2024,CDM,CM,82,medium
176841,8682,"G. Bruno",2021,BPL,2020,ST,ST,82,medium
145230,30544,"G. Scamacca",2324,SA,2023,ST,ST,82,high
146061,30544,"G. Scamacca",2122,SA,2021,Winger,ST,82,high
131949,643,"Gabriel Jesus",2122,PL,2021,Winger,Winger,82,high
137836,47291,"Gorka Guruzeta",2324,LL,2023,ST,ST,82,medium
130865,18778,"H. Barnes",2425,PL,2024,Winger,Winger,82,medium
132430,18778,"H. Barnes",2021,PL,2020,CM,Winger,82,high
131365,24888,"Hwang Hee-Chan",2324,PL,2023,ST,ST,82,low
178907,8572,"J. Perbet",1516,BPL,2015,ST,ST,82,medium
132491,2938,"J. Ward-Prowse",2021,PL,2020,CM,CM,82,high
140101,47366,"Jony",1819,LL,2018,Winger,Winger,82,high
140948,759,"K. Benzema",1617,LL,2016,ST,ST,82,high
172811,550,"K. Dolberg",1617,ERE,2016,Winger,ST,82,high
130939,178077,"K. Schade",2425,PL,2024,CM,Winger,82,medium
158950,1709,"K. Toko Ekambi",2021,L1,2020,Winger,Winger,82,high
167597,462,"Konstantinos Mitroglou",1516,PRT,2015,ST,ST,82,high
159050,22264,"L. Ajorque",2021,L1,2020,ST,ST,82,high
137461,386828,"Lamine Yamal",2425,LL,2024,Winger,Winger,82,high
139789,18833,"Lucas Pérez",1920,LL,2019,ST,ST,82,medium
131869,2507,"M. Almirón",2223,PL,2022,Winger,Winger,82,high
147757,30876,"M. Antenucci",1718,SA,2017,ST,ST,82,medium
160416,1917,"M. Balotelli",1718,L1,2017,ST,ST,82,high
158726,24288,"M. Bayo",2122,L1,2021,ST,ST,82,medium
159916,667,"M. Depay",1819,L1,2018,ST,ST,82,medium
183143,19511,"M. Diouf",2021,TR,2020,Winger,ST,82,medium
151642,25464,"M. Ducksch",2324,BL,2023,ST,ST,82,high
140415,2060,"M. El Haddadi",1718,LL,2017,ST,ST,82,low
130947,18746,"M. Gibbs-White",2425,PL,2024,CM,CAM,82,high
153886,25329,"M. Kruse",1819,BL,2018,ST,ST,82,medium
131156,15911,"M. Kudus",2324,PL,2023,CM,Winger,82,medium
