card_id,api_player_id,player_name,season,club,current_pool,verified_position,confidence,evidence,source,fetched_at
130728,306,Mohamed Salah,2425,Liverpool,Winger,Winger,high,"Right Winger 52  (base 52, Winger 100%)",transfermarkt,2026-08-10T20:01:11.032Z
131585,1100,E. Haaland,2223,Manchester City,ST,ST,high,"Centre-Forward 53  (base 53, ST 100%)",transfermarkt,2026-08-10T20:01:19.484Z
140068,154,L. Messi,1819,Barcelona,ST,Winger,high,"Right Winger 35, Second Striker 8, Centre-Forward 7  (base 50, Winger 70%)",transfermarkt,2026-08-10T20:01:33.859Z
140489,154,L. Messi,1718,Barcelona,ST,CAM,high,"Second Striker 33, Right Winger 13, Centre-Forward 8  (base 54, CAM 61%)",transfermarkt,2026-08-10T20:04:10.069Z
140934,154,L. Messi,1617,Barcelona,Winger,Winger,high,"Right Winger 48, Attacking Midfield 3, Second Striker 1  (base 52, Winger 92%)",transfermarkt,2026-08-10T20:04:41.948Z
141575,157,L. Suárez,1516,Barcelona,ST,CAM,low,"Attacking Midfield 15, Central Midfield 11, Right Winger 10, Left Winger 2, Centre-Forward 1  (base 39, CAM 38%)",transfermarkt,2026-08-10T20:05:09.744Z
133614,306,Mohamed Salah,1718,Liverpool,ST,Winger,high,"Right Winger 46, Centre-Forward 5, Attacking Midfield 1  (base 52, Winger 88%)",transfermarkt,2026-08-10T20:05:30.371Z
139650,154,L. Messi,1920,Barcelona,Winger,Winger,high,"Right Winger 28, Centre-Forward 8, Second Striker 6, Attacking Midfield 2  (base 44, Winger 64%)",transfermarkt,2026-08-10T20:05:55.116Z
141579,874,Cristiano Ronaldo,1516,Real Madrid,Winger,Winger,high,"Left Winger 36, Centre-Forward 12  (base 48, Winger 75%)",transfermarkt,2026-08-10T20:06:02.599Z
147022,1863,C. Immobile,1920,Lazio,ST,ST,high,"Centre-Forward 44  (base 44, ST 100%)",transfermarkt,2026-08-10T20:06:18.760Z
140669,157,L. Suárez,1718,Barcelona,ST,CAM,high,"Attacking Midfield 25, Central Midfield 10, Left Winger 7, Right Winger 7  (base 49, CAM 51%)",transfermarkt,2026-08-10T20:06:31.417Z
141117,157,L. Suárez,1617,Barcelona,ST,CAM,medium,"Attacking Midfield 21, Central Midfield 14, Left Winger 5, Right Winger 2  (base 42, CAM 50%)",transfermarkt,2026-08-10T20:06:57.073Z
141402,154,L. Messi,1516,Barcelona,Winger,Winger,high,"Right Winger 46, Centre-Forward 2, Second Striker 1  (base 49, Winger 94%)",transfermarkt,2026-08-10T20:07:17.378Z
148701,2297,G. Higuaín,1516,Napoli,ST,ST,high,"Centre-Forward 42  (base 42, ST 100%)",transfermarkt,2026-08-10T20:07:23.367Z
161191,51070,Z. Ibrahimović,1516,Paris Saint Germain,ST,ST,high,"Centre-Forward 50  (base 50, ST 100%)",transfermarkt,2026-08-10T20:09:14.221Z
131865,184,H. Kane,2223,Tottenham,ST,ST,high,"Centre-Forward 48  (base 48, ST 100%)",transfermarkt,2026-08-10T20:09:32.551Z
131969,306,Mohamed Salah,2122,Liverpool,Winger,Winger,high,"Right Winger 51  (base 51, Winger 100%)",transfermarkt,2026-08-10T20:09:51.069Z
132669,184,H. Kane,2021,Tottenham,ST,ST,high,"Centre-Forward 49  (base 49, ST 100%)",transfermarkt,2026-08-10T20:10:16.871Z
133870,184,H. Kane,1718,Tottenham,ST,ST,high,"Centre-Forward 48  (base 48, ST 100%)",transfermarkt,2026-08-10T20:10:42.554Z
134288,184,H. Kane,1617,Tottenham,ST,ST,high,"Centre-Forward 38  (base 38, ST 100%)",transfermarkt,2026-08-10T20:11:04.111Z
134313,910,A. Sánchez,1617,Arsenal,ST,ST,low,"Centre-Forward 24, Left Winger 17, Attacking Midfield 6, Second Striker 3, Right Winger 1  (base 51, ST 47%)",transfermarkt,2026-08-10T20:12:09.281Z
139209,154,L. Messi,2021,Barcelona,Winger,ST,high,"Centre-Forward 29, Second Striker 9, Right Winger 8, Attacking Midfield 1  (base 47, ST 62%)",transfermarkt,2026-08-10T20:12:37.874Z
141441,276,Neymar,1516,Barcelona,Winger,Winger,high,"Left Winger 49  (base 49, Winger 100%)",transfermarkt,2026-08-10T20:12:47.791Z
146972,874,Cristiano Ronaldo,1920,Juventus,Winger,Winger,high,"Left Winger 26, Centre-Forward 20  (base 46, Winger 57%)",transfermarkt,2026-08-10T20:13:08.086Z
147130,30463,F. Quagliarella,1819,Sampdoria,ST,ST,high,"Centre-Forward 38, Second Striker 1  (base 39, ST 97%)",transfermarkt,2026-08-10T20:13:26.679Z
148312,332,D. Mertens,1617,Napoli,Winger,ST,high,"Centre-Forward 33, Left Winger 8, Right Winger 2  (base 43, ST 77%)",transfermarkt,2026-08-10T20:13:40.359Z
158399,278,Kylian Mbappé,2122,Paris Saint Germain,Winger,ST,high,"Centre-Forward 34, Left Winger 12  (base 46, ST 74%)",transfermarkt,2026-08-10T20:13:48.734Z
159701,278,Kylian Mbappé,1819,Paris Saint Germain,ST,ST,high,"Centre-Forward 33, Right Winger 8, Left Winger 2  (base 43, ST 77%)",transfermarkt,2026-08-10T20:13:59.451Z
147879,1863,C. Immobile,1718,Lazio,ST,ST,high,"Centre-Forward 47  (base 47, ST 100%)",transfermarkt,2026-08-10T20:14:07.386Z
148277,790,E. Džeko,1617,AS Roma,ST,ST,high,"Centre-Forward 46  (base 46, ST 100%)",transfermarkt,2026-08-10T20:14:16.980Z
166706,580,Jonas Gonçalves Oliveira,1718,Benfica,ST,ST,high,"Centre-Forward 23, Second Striker 15, Attacking Midfield 1, Left Winger 1  (base 40, ST 57%)",transfermarkt,2026-08-10T20:14:31.293Z
167141,1497,B. Dost,1617,Sporting CP,Winger,ST,high,"Centre-Forward 43  (base 43, ST 100%)",transfermarkt,2026-08-10T20:14:39.896Z
130730,2864,A. Isak,2425,Newcastle,ST,ST,high,"Centre-Forward 42  (base 42, ST 100%)",transfermarkt,2026-08-10T20:14:48.470Z
167490,580,Jonas Gonçalves Oliveira,1516,Benfica,ST,CAM,high,"Second Striker 36, Centre-Forward 8  (base 44, CAM 82%)",transfermarkt,2026-08-10T20:14:55.992Z
131185,1100,E. Haaland,2324,Manchester City,ST,ST,high,"Centre-Forward 45  (base 45, ST 100%)",transfermarkt,2026-08-10T20:15:18.175Z
